,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
71,GOCO,"GoHealth, Inc.",16.5,1.02,6.59,60852,119844,3.545B,
72,LSCC,Lattice Semiconductor Corporation,80.74,4.95,6.53,2.198M,1.422M,11.066B,74.76
73,MDB,"MongoDB, Inc.",228.17,13.96,6.52,1.748M,2.102M,15.809B,
74,SOFI,"SoFi Technologies, Inc.",7.38,0.45,6.49,73.553M,42.722M,5.901B,
75,EXPI,"eXp World Holdings, Inc.",16.6,1.01,6.48,813616,1.011M,2.535B,79.05
76,YY,JOYY Inc.,37.98,2.3,6.45,898852,673130,2.691B,5.39
77,MSTR,MicroStrategy Incorporated,267.92,16.19,6.43,655439,695343,3.091B,
78,ATEYY,Advantest Corporation,75.55,4.55,6.41,26759,10975,14.104B,15.26
79,SITM,SiTime Corporation,122.6,7.37,6.4,727791,265273,2.628B,59.23
80,MBLY,Mobileye Global Inc.,41.06,2.46,6.37,4.242M,2.105M,32.927B,
81,JHX,James Hardie Industries plc,23.9,1.43,6.36,121131,123495,10.617B,20.6
82,HUBS,"HubSpot, Inc.",368.67,21.66,6.24,1.043M,745060,17.909B,
83,EW,Edwards Lifesciences Corporation,81.48,4.78,6.23,7.35M,4.669M,50.376B,35.12
84,SYNA,Synaptics Incorporated,132.82,7.79,6.23,763892,461290,5.296B,19.36
85,TER,"Teradyne, Inc.",107.99,6.29,6.18,2.784M,1.59M,16.82B,26.4
86,ONTO,Onto Innovation Inc.,83.41,4.76,6.05,329103,215895,4.13B,21.01
87,EPAM,"EPAM Systems, Inc.",352.77,20.12,6.05,373983,359855,20.289B,49.48
88,LRCX,Lam Research Corporation,530.26,30.16,6.03,2.489M,1.484M,71.799B,14.25
89,ON,ON Semiconductor Corporation,77.84,4.39,5.98,9.101M,5.813M,33.66B,20.22
90,RIG,Transocean Ltd.,7.14,0.4,5.93,37.941M,22.816M,5.154B,
91,ZS,"Zscaler, Inc.",131.52,7.36,5.93,2.453M,2.689M,18.967B,
92,NCLH,Norwegian Cruise Line Holdings Ltd.,16.11,0.9,5.92,18.475M,14.384M,6.789B,
93,SHC,Sotera Health Company,18.26,1.02,5.92,1.783M,3.012M,5.151B,41.5
94,EDU,New Oriental Education & Technology Group Inc.,45.16,2.52,5.91,2.018M,2.665M,7.68B,
95,BEAM,Beam Therapeutics Inc.,45.97,2.52,5.8,1.127M,810463,3.239B,
96,AEIS,"Advanced Energy Industries, Inc.",98.11,5.37,5.79,274087,174145,3.668B,18.87
97,APE,"AMC Entertainment Holdings, Inc.",2.56,0.14,5.79,36.913M,29.779M,5.099B,
98,LI,Li Auto Inc.,26.34,1.44,5.78,10.509M,10.907M,25.701B,2634.0
99,BYDDY,BYD Company Limited,67.15,3.65,5.75,277944,209838,113.892B,67.15
100,GDRX,"GoodRx Holdings, Inc.",5.91,0.32,5.72,3.554M,1.871M,2.341B,
101,TME,Tencent Music Entertainment Group,8.87,0.48,5.72,7.085M,12.445M,15.166B,32.85
102,NEWR,"New Relic, Inc.",64.54,3.49,5.72,685723,508876,4.411B,
103,ATUS,"Altice USA, Inc.",5.18,0.28,5.71,4.064M,5.807M,2.362B,3.75
104,DOCS,"Doximity, Inc.",37.28,2.01,5.7,2.411M,1.908M,7.176B,53.26
105,LAD,"Lithia Motors, Inc.",278.1,14.9,5.66,426565,376983,7.603B,6.22
106,BB,BlackBerry Limited,4.49,0.24,5.65,8.555M,7.273M,2.622B,
107,SNOW,Snowflake Inc.,165.22,8.78,5.61,4.798M,5.559M,53.135B,
108,IOT,Samsara Inc.,14.4,0.76,5.57,1.546M,1.404M,7.472B,
109,DOX,Amdocs Limited,97.05,5.12,5.57,1.29M,587060,11.725B,21.86
110,BYDDF,BYD Company Limited,33.5,1.76,5.56,249605,123143,113.815B,67.0
111,MO,"Altria Group, Inc.",47.54,2.5,5.55,14.695M,7.652M,85.2B,18.5
112,TBVPF,Thai Beverage Public Company Limited,0.5383,0.0283,5.55,111589,43843,13.523B,13.46
113,SDRL,Seadrill Limited,44.83,2.33,5.48,834432,216243,2.242B,1.33
114,HMY,Harmony Gold Mining Company Limited,3.7,0.19,5.41,5.237M,4.394M,2.438B,20.56
115,ENTG,"Entegris, Inc.",85.07,4.36,5.4,2.184M,1.804M,12.678B,43.63
116,PLTR,Palantir Technologies Inc.,8.2,0.42,5.4,49.122M,33.015M,17.058B,
117,PCTY,Paylocity Holding Corporation,219.52,11.23,5.39,453551,444251,12.222B,138.94
118,TEAM,Atlassian Corporation,170.31,8.69,5.38,2.036M,3.657M,43.518B,
119,AMBA,"Ambarella, Inc.",94.66,4.82,5.37,450910,587116,3.669B,
120,DRKTF,Darktrace plc,2.75,0.14,5.36,56500,2945,2.299B,
121,PARA,Paramount Global,24.4,1.24,5.35,16.302M,12.615M,15.994B,5.56
122,FNMAT,Federal National Mortgage Association,1.97,0.1,5.35,20679,98341,2.607B,281.43
123,ABG,"Asbury Automotive Group, Inc.",231.64,11.64,5.29,355460,180136,5.127B,6.62
124,CSGKF,Credit Suisse Group AG,3.59,0.18,5.28,44549,114758,14.429B,
125,TOELY,Tokyo Electron Limited,91.85,4.6,5.27,100857,82825,57.865B,14.81
126,ARCB,ArcBest Corporation,87.83,4.38,5.25,363278,210746,2.145B,6.94
127,NXPI,NXP Semiconductors N.V.,193.94,9.63,5.22,4.468M,2.117M,50.257B,19.36
128,RNLSY,Renault SA,8.5,0.42,5.2,21418,30921,12.912B,8.5
129,APP,AppLovin Corporation,13.36,0.66,5.2,3.003M,3.544M,4.966B,
130,PAYC,"Paycom Software, Inc.",340.77,16.83,5.2,631263,440828,20.453B,80.75
131,RXO,"RXO, Inc.",19.27,0.95,5.19,1.436M,1.656M,2.241B,15.54
132,CAR,"Avis Budget Group, Inc.",210.37,10.33,5.16,761362,713295,8.723B,4.11
133,TPX,"Tempur Sealy International, Inc.",42.85,2.1,5.15,4.122M,1.873M,7.327B,15.14
134,BEKE,KE Holdings Inc.,19.28,0.94,5.13,8.706M,13.247M,24.151B,
135,SYNH,"Syneos Health, Inc.",37.76,1.84,5.12,1.32M,1.819M,3.886B,13.93
136,KKOYY,Kesko Oyj,12.11,0.59,5.12,41220,16111,9.626B,14.08
137,ABCM,Abcam plc,14.58,0.71,5.12,1.123M,698226,3.343B,208.29
138,AKO-B,Embotelladora Andina S.A.,16.04,0.78,5.11,56983,38416,2.531B,13.15
139,PDD,Pinduoduo Inc.,102.98,5.0,5.1,8.771M,10.492M,130.207B,37.45
140,EXPD,"Expeditors International of Washington, Inc.",113.66,5.51,5.09,1.931M,1.623M,18.087B,11.96
141,SBNY,Signature Bank,135.5,6.55,5.08,1.904M,1.274M,8.527B,6.52
142,FND,"Floor & Decor Holdings, Inc.",95.37,4.6,5.07,1.68M,1.56M,10.12B,36.4
143,PCCYF,PetroChina Company Limited,0.5305,0.0255,5.05,54025,233066,140.265B,4.82
144,TV,"Grupo Televisa, S.A.B.",6.46,0.31,5.04,4.284M,3.927M,3.687B,6.87
145,EVCM,EverCommerce Inc.,10.85,0.52,5.03,150776,268411,2.096B,
146,VRNS,"Varonis Systems, Inc.",27.14,1.3,5.03,1.278M,1.375M,3.116B,
147,APPN,Appian Corporation,43.44,2.07,5.02,460186,531128,3.151B,
148,BILI,Bilibili Inc.,26.25,1.25,5.0,7.538M,12.163M,10.052B,
149,MQ,"Marqeta, Inc.",6.96,0.33,4.98,5.871M,5.151M,3.794B,
150,MXL,"MaxLinear, Inc.",43.24,2.04,4.95,785715,464951,3.397B,27.19
151,CUK,Carnival Corporation & plc,10.21,0.48,4.93,2.678M,2.033M,13.499B,1.98
152,GNRC,Generac Holdings Inc.,126.54,5.94,4.93,1.899M,1.814M,8.017B,18.0
153,AGL,"agilon health, inc.",22.83,1.07,4.92,1.883M,1.892M,9.403B,
154,NET,"Cloudflare, Inc.",55.51,2.6,4.91,5.04M,5.363M,18.242B,
155,KLIC,"Kulicke and Soffa Industries, Inc.",53.6,2.5,4.89,815300,532060,3.049B,7.56
156,ASX,"ASE Technology Holding Co., Ltd.",7.55,0.35,4.86,9.95M,7.129M,16.186B,7.06
157,FLYW,Flywire Corporation,28.28,1.31,4.86,952426,986021,3.082B,942.67
158,S,"SentinelOne, Inc.",15.82,0.73,4.84,6.1M,4.879M,4.472B,
159,TREX,"Trex Company, Inc.",55.27,2.55,4.84,1.353M,1.155M,6.065B,31.58
160,FRSH,Freshworks Inc.,16.96,0.78,4.82,2.936M,1.41M,4.568B,1.57
161,CDAY,Ceridian HCM Holding Inc.,75.76,3.48,4.81,1.488M,1.559M,11.636B,
162,SPOT,Spotify Technology S.A.,118.14,5.42,4.81,4.457M,1.861M,22.816B,
163,CCL,Carnival Corporation & plc,11.34,0.52,4.81,46.557M,48.26M,14.738B,
164,NCNO,"nCino, Inc.",29.97,1.37,4.79,497128,725375,3.328B,
165,ITGR,Integer Holdings Corporation,68.95,3.14,4.77,2.231M,210631,2.284B,33.97
166,NVMI,Nova Ltd.,95.01,4.31,4.75,78026,114295,2.728B,24.24
167,ALGN,"Align Technology, Inc.",282.53,12.8,4.75,1.987M,991325,22.069B,44.21
168,GPI,"Group 1 Automotive, Inc.",223.97,10.12,4.73,205833,194415,3.18B,4.73
169,ACLS,"Axcelis Technologies, Inc.",115.15,5.2,4.73,756564,424605,3.783B,24.55
170,TSLA,"Tesla, Inc.",181.41,8.19,4.73,213.806M,143.313M,572.847B,59.87
171,CORT,Corcept Therapeutics Incorporated,23.94,1.08,4.72,1.071M,729150,2.577B,24.43
172,FRO,Frontline plc,14.48,0.65,4.7,3.959M,5.081M,3.224B,12.38
173,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.39,0.33,4.67,1.713M,1.508M,44.881B,7.11
174,GBTG,"Global Business Travel Group, Inc.",7.4,0.33,4.67,52796,162861,6.339B,
175,HLIO,"Helios Technologies, Inc.",69.08,3.08,4.67,151773,143996,2.249B,21.59
176,DIOD,Diodes Incorporated,93.35,4.16,4.66,211045,225946,4.245B,14.54
177,MANH,"Manhattan Associates, Inc.",136.43,6.07,4.66,491079,275020,8.513B,77.08
178,DQ,Daqo New Energy Corp.,47.62,2.11,4.64,1.649M,1.264M,3.571B,2.41
179,NESRF,Northern Star Resources Limited,9.12,0.4,4.64,27187,3091,10.532B,35.08
180,CXM,"Sprinklr, Inc.",10.4,0.46,4.63,1.407M,554370,2.715B,
181,XIACY,Xiaomi Corporation,8.64,0.38,4.61,22619,21173,43.699B,72.0
182,AMKBY,A.P. Møller - Mærsk A/S,11.34,0.5,4.61,108080,152496,39.694B,1.39
183,XPEV,XPeng Inc.,11.13,0.49,4.61,20.251M,31.908M,9.603B,
184,SWDBY,Swedbank AB (publ),20.03,0.88,4.6,43044,40596,22.841B,11.71
185,GXO,"GXO Logistics, Inc.",54.73,2.4,4.59,1.086M,1.062M,6.493B,31.64
186,MLI,"Mueller Industries, Inc.",68.55,3.0,4.58,382416,302796,3.898B,6.02
187,MCHP,Microchip Technology Incorporated,81.16,3.54,4.56,7.162M,4.643M,44.639B,24.74
188,TDOC,"Teladoc Health, Inc.",30.74,1.34,4.56,4.248M,4.342M,4.978B,
189,VOLVF,AB Volvo (publ),20.5,0.89,4.55,297186,3358,42.148B,12.35
190,UMC,United Microelectronics Corporation,8.5,0.37,4.55,13.685M,8.738M,21.71B,8.02
191,WSO,"Watsco, Inc.",300.37,13.0,4.52,435144,253950,11.878B,22.15
192,PRFT,"Perficient, Inc.",77.48,3.34,4.5,149216,195528,2.683B,34.74
193,TIIAY,Telecom Italia S.p.A.,3.02,0.13,4.5,86203,71258,6.415B,
194,PHG,Koninklijke Philips N.V.,17.89,0.77,4.5,2.404M,2.991M,15.77B,40.66
195,QRVO,"Qorvo, Inc.",113.53,4.87,4.48,2.848M,1.251M,11.511B,18.61
196,AA,Alcoa Corporation,54.58,2.34,4.48,5.388M,5.14M,9.659B,10.62
197,ROKU,"Roku, Inc.",60.05,2.55,4.43,9.856M,7.656M,8.363B,50.89
198,CIAFF,Champion Iron Limited,5.3,0.23,4.43,105155,29660,2.759B,17.1
199,KLAC,KLA Corporation,409.77,17.29,4.41,1.728M,1.396M,58.072B,16.84
