Ticker,Company,Sector,Industry,Country,Description
FSR,Fisker Inc.,Consumer Cyclical,Auto Manufacturers,USA,"Fisker Inc. develops, manufactures, markets, leases, or sale of electric vehicles. The company is also involved in asset-light automotive business. It operates through The White Space, The Value Segment, and The Conservative Premium segments. In addition, the company offers fisker flexible platform agnostic design ,a process that develops and designs electric vehicles in specific segment size. The company was incorporated in 2016 and is headquartered in Manhattan Beach, California."
DIT,AMCON Distributing Company,Consumer Defensive,Food Distribution,USA,"AMCON Distributing Company, together with its subsidiaries, engages in the wholesale distribution of consumer products in the Central, Rocky Mountain, and Mid-South regions of the United States. It operates through Wholesale Distribution and Retail Health Food segments. The Wholesale Distribution segment distributes consumer products, including cigarettes and tobacco products, candy and other confectionery, beverages, groceries, paper products, health and beauty care products, frozen and refrigerated products, and institutional foodservice products. It serves retailers, such as convenience stores, discount and general merchandise stores, grocery stores, drug stores, liquor stores, tobacco shops, and gas stations; and institutional customers, including restaurants and bars, schools, and sports complexes, as well as other wholesalers. This segment also markets private label lines of water, candy products, batteries, and other products. In addition, the Retail Health Food segment is involved in the retail of natural, organic, and specialty foods consisting of produce, baked goods, frozen foods, nutritional supplements, personal care items, and general merchandise. Further, the company operates twenty retail health food stores under the Chamberlin's Natural Foods, Akin's Natural Foods, and Earth Origins Market brands. AMCON Distributing Company was incorporated in 1986 and is based in Omaha, Nebraska."
IROQ,"IF Bancorp, Inc.",Financial,Banks - Regional,USA,"IF Bancorp, Inc. operates as the savings and loan holding company for Iroquois Federal Savings and Loan Association that provides a range of banking and financial services to individual and corporate clients. The company offers various deposit accounts, including savings accounts, certificates of deposit, money market accounts, commercial and personal checking accounts, individual retirement accounts, and health savings accounts. It also provides loans comprising one- to four-family residential mortgage loans; multi-family mortgage loans; commercial real estate loans, such as farm loans; home equity lines of credit; commercial business loans; and consumer loans primarily comprising automobile loans, as well as construction loans and land development loans. In addition, the company sells property and casualty insurance, as well as offers annuities; mutual funds; individual and group retirement plans; life, disability, and health insurance; individual securities; managed accounts; and other financial services. Further, it invests in securities; and provides ATM, online banking and bill pay, mobile banking, ACH origination, remote deposit capture, and telephone banking services. The company operates a network of seven full-service banking offices located in Watseka, Danville, Clifton, Hoopeston, Savoy, Bourbonnais, and Champaign, Illinois; and a loan production and wealth management office in Osage Beach, Missouri. IF Bancorp, Inc. was founded in 1883 and is headquartered in Watseka, Illinois."
SCU,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA,"Sculptor Capital Management, Inc. is a publicly owned hedge fund sponsor. The firm provides investment advisory services to its clients. It primarily caters to institutional investors, which include pension funds, fund-of-funds, foundations and endowments, corporations and other institutions, private banks and family offices. The firm also manages separate client-focused equity, fixed income, and real estate separate accounts. It also manages commingled funds and specialized products. The firm invests in equity, fixed income and real estate markets across the world. It employs quantitative and qualitative analysis to make its investments through a combination of fundamental bottom-up research, a high degree of flexibility, and integrated risk management. For its multi-strategy portfolios, the firm employs strategies like convertible and derivative arbitrage, corporate credit, long/short equity special situations, buyout investments, merger arbitrage, private investments, and structured credit. It also invests in real estate and traditional real estate assets including multifamily, office, hotel and retail, loans, portfolio acquisitions, loan pools, operating companies, structured debt products, public securities, and non-traditional real estate assets including gaming, distressed land and residential, cell towers, parking, golf, debt and senior housing. For private equity investments, it considers investments in a variety of special situations that seek to realize value through strategic sales or initial public offerings. The firm was previously known as Och-Ziff Capital Management Group Inc. Sculptor Capital Management, Inc. was founded in 1994 and is based New York, New York."
LGSTW,Semper Paratus Acquisition Corporation,Financial,Shell Companies,USA,"Semper Paratus Acquisition Corporation focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. It intends to pursue an acquisition opportunity in the transportation, supply chain, and logistics industry. The company was incorporated in 2021 and is based in New York, New York."
CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA,"Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financial products and services to individual consumers, and small and middle market businesses. The company offers deposits products, including checking, savings, MMDA, and other deposits accounts. It offers loan products, including commercial mortgage warehouse loans, multi-family and commercial real estate loans, business banking, small business loans, equipment financing, residential mortgage loans, and installment loans. It also offers traditional banking activities, including mobile phone banking, internet banking, wire transfers, electronic bill payment, lock box services, remote deposit capture services, courier services, merchant processing services, cash vault, controlled disbursements, positive pay, cash management services, such as account reconciliation, collections, and sweep accounts. It operates 12 full-service branches, as well as limited production and administrative offices in Southeastern Pennsylvania, including Bucks, Berks, Chester, Philadelphia, and Delaware Counties; Harrisburg, Pennsylvania; Rye Brook and New York; Hamilton, New Jersey; Boston, Massachusetts; Providence, Rhode Island; Portsmouth, New Hampshire; Manhattan and Melville, New York; Washington D.C.; Chicago, Illinois; Dallas, Texas; Orlando, Florida; and Wilmington, North Carolina. Customers Bancorp, Inc. was founded in 1994 and is headquartered in West Reading, Pennsylvania."
FPX,First Trust US Equity Opportunities ETF,Financial,Exchange Traded Fund,USA,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index seeks to measure the performance of equity securities of the 100 typically largest and most liquid initial public offerings (""IPOs"") (including spin-offs and equity carve-outs) of U.S. companies. It is non-diversified."
ALAR,Alarum Technologies Ltd.,Technology,Software - Infrastructure,Israel,"Alarum Technologies Ltd. provides cybersecurity and privacy solutions to consumers and enterprises in Israel, the United States, Hong Kong, the Asia Pacific, and internationally. Its cybersecurity solutions comprise iShield, a cybersecurity cloud software that protects users from online threats, including phishing, malware, ransomware and others; AdBlocker, an iOS application for an ad-free internet experience; ZoneZero SDP, a solution based on software defined perimeter and zero trust network access concepts that grant access to applications on a need-to-know basis only; ZoneZero MFA, a solution designed to add centralized multi-factor authentication capabilities for various types of internal applications; and SDE, which is designed to unify various data exchange scenarios of an organization. The company also provides Proxy solutions consisting of static and dynamic residential proxy network cloud services, data center proxy network cloud services, and data collection API cloud services; Proxy-in-a-Box, an on-premise solution of private proxy access network for customers who wish to deploy and maintain their own proxy network; and Premium dedicated static residential proxies, a solution that creates a dedicated static IP for each user. It offers its products through resellers, distributors, and internet service providers. The company serves finance, healthcare, and retail sectors; and government agencies, commercial and online companies, and educational institutions. The company was formerly known as Safe-T Group Ltd. and changed its name to Alarum Technologies Ltd. in January 2023. Alarum Technologies Ltd. was founded in 2013 and is headquartered in Tel Aviv-Yafo, Israel."
EIS,iShares MSCI Israel ETF,Financial,Exchange Traded Fund,USA,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index rhat is designed to measure the performance of the large-, mid- and small-capitalization segments of the equity market in Israel. The fund is non-diversified."
GDOT,Green Dot Corporation,Financial,Credit Services,USA,"Green Dot Corporation, a financial technology and bank holding company, provides various financial products to consumers and businesses in the United States. It operates through three segments: Consumer Services, Business to Business Services, and Money Movement Services. The company offers deposit account programs, including consumer and small business checking account products, network-branded reloadable prepaid debit cards and gift cards, and secured credit programs. It also provides money processing services, such as cash transfer services that enable consumers to deposit or pick up cash and pay bills with cash at the point-of-sale at any participating retailer; and simply paid disbursement services, which enable wages and authorized funds disbursement to its deposit account programs and accounts issued by any third-party bank or program manager. In addition, the company offers tax processing services comprising tax refund transfers, which provide the processing technology to facilitate receipt of a taxpayers' refund proceeds; small business lending to independent tax preparation providers that seek small advances; and fast cash advance, a loan that enables tax refund recipients. Green Dot Corporation was incorporated in 1999 and is headquartered in Austin, Texas."
DXYN,"The Dixie Group, Inc.",Consumer Cyclical,Textile Manufacturing,USA,"The Dixie Group, Inc. manufactures, markets, and sells floorcovering products to residential customers in North America and internationally. It offers residential carpets, custom rugs, and engineered wood products under the Fabrica brand for interior decorators and designers, selected retailers and furniture stores, luxury home builders, and manufacturers of luxury motor coaches and yachts; and specialty carpets and rugs for the high-end residential marketplace, as well as luxury vinyl flooring products and broadloom carpet products under the Masland Residential brand name through the interior design community and specialty floorcovering retailers. The company also provides residential tufted broadloom carpets and rugs to selected retailers and home centers under the Dixie Home and private label brands, as well as luxury vinyl flooring products to the marketplace it serves. The company was founded in 1920 and is based in Dalton, Georgia."
NXGL,"NEXGEL, Inc.",Healthcare,Medical Instruments & Supplies,USA,"NEXGEL, Inc. manufactures high water content, electron beam cross-linked, and aqueous polymer hydrogels and gels. Its products are used for wound care, medical diagnostics, transdermal drug delivery, and cosmetics. The company was formerly known as AquaMed Technologies, Inc. and changed its name to NEXGEL, Inc. in November 2019. NEXGEL, Inc. was founded in 1997 and is based in Langhorne, Pennsylvania."
BRSH,Bruush Oral Care Inc.,Consumer Defensive,Household & Personal Products,Canada,"Bruush Oral Care Inc., an oral care company, manufactures and sells electric toothbrushes in the United States and Canada. The company offers Bruush starter kit, including electric toothbrush, three brush heads, a magnetic charging stand and USB power adapter, and a travel case. It also provides brush head refills. The company sells its products through its website www.bruush.com and various third-party retailers. Bruush Oral Care Inc. was incorporated in 2017 and is headquartered in Toronto, Canada."
HLGN,"Heliogen, Inc.",Utilities,Utilities - Renewable,USA,"Heliogen, Inc., a renewable energy technology company, develops an A.I.-enabled, concentrated solar power plant. It offers HelioHeat for the production of heat for use in industrial processes; HelioPower, a solution for power generation; and HelioFuel, a solution for hydrogen fuel production. The company was formerly known as Edison Microgrids, Inc. and changed its name to Heliogen, Inc. in November 2019. The company was incorporated in 2013 and is headquartered in Pasadena, California."
KNTK,Kinetik Holdings Inc.,Energy,Oil & Gas Midstream,USA,"Kinetik Holdings Inc. operates as a midstream company in the Texas Delaware Basin. It provides gathering, transportation, compression, processing, and treating services for companies that produce natural gas, natural gas liquids, crude oil, and water. The company is headquartered in Midland, Texas."
CELZ,"Creative Medical Technology Holdings, Inc.",Healthcare,Biotechnology,USA,"Creative Medical Technology Holdings, Inc., a biotechnology company, focuses on immunology, urology, orthopedics, and neurology using adult stem cell treatments. The company offers CaverStem to treat erectile dysfunction; FemCelz for the treatment of loss of genital sensitivity and dryness; StemSpine to treat chronic lower back pain; ImmCelz for the treatment of stroke patients; and OvaStem for treatment of female infertility. Creative Medical Technology Holdings, Inc. is based in Phoenix, Arizona."
KPRX,"Kiora Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,"Kiora Pharmaceuticals, Inc., a clinical-stage specialty pharmaceutical company, develops and commercializes therapies for the treatment of ophthalmic diseases in the United States. Its lead product is KIO-301, a potential vision-restoring small molecule, which is in Phase 1 clinical trial that acts as a photoswitch to restore vision in patients with inherited and age-related degenerative retinal diseases. The company is also developing KIO-101, an eye drop that is in Phase 2 clinical trial for the treatment of ocular presentation of rheumatoid arthritis, as well as for treating non-infectious posterior uveitis; and KIO-201, an eye drop, which is in Phase 3 clinical trial for treating patients undergoing PRK surgery for corneal wound repair after refractive surgery. The company was formerly known as Eyegate Pharmaceuticals, Inc. and changed its name to Kiora Pharmaceuticals, Inc. in November 2021. Kiora Pharmaceuticals, Inc. was incorporated in 1998 and is headquartered in Encinitas, California."
THCH,TH International Limited,Consumer Cyclical,Restaurants,China,"TH International Limited operates Tim Hortons coffee shops in mainland China, Hong Kong, and Macau. As of September 28, 2022, it had approximately 460 coffee shops across the People's Republic of China. The company was incorporated in 2018 and is based in Shanghai, the People's Republic of China. TH International Limited is a subsidiary of Tim Hortons Inc."
SOUN,"SoundHound AI, Inc.",Technology,Software - Application,USA,"SoundHound AI, Inc. develops independent voice artificial intelligence (AI) platform that enables businesses across industries to deliver high-quality conversational experiences to their customers. Its products include Houndify platform that offers a suite of Houndify tools to help brands build conversational voice assistants, such as automatic speech recognition, natural language understanding, wake words, custom domains, text-to-speech, and embedded voice solutions The company is headquartered in Santa Clara, California."
DBTX,"Decibel Therapeutics, Inc.",Healthcare,Biotechnology,USA,"Decibel Therapeutics, Inc., a clinical-stage biotechnology company, engages in discovering and developing transformative treatments for hearing and balance disorders. Its product candidates and programs focuses on three areas, such as Gene Therapies for Congenital, Monogenic Hearing Loss designed to restore functional cells within the cochlea to address hearing disorders caused by single gene mutations; Gene Therapies for Hair Cell Regeneration designed to replace lost hair cells within the inner ear to address acquired hearing loss and balance disorders; and Otoprotection Therapeutic in clinical development to prevent hearing loss in cancer patients undergoing chemotherapy with cisplatin. The company's lead gene therapy product candidate is DB-OTO to provide hearing to individuals born with profound hearing loss due to mutation of the otoferlin gene. It is also developing DB-ATO and AAV.201, a gene therapy program designed to restore balance in patients with bilateral vestibulopathy by regenerating lost hair cells within the vestibule; DB-020 for the prevention of cisplatin-induced hearing loss, which is in Phase 1b clinical trial; AAV.103 to restore hearing in individuals with a gap junction beta-2 (GJB2) deficiency; AAV.104 to restore hearing in individuals with stereocilin (STRC) deficiency; and cochlear hair cell regeneration program, an AAV-based gene therapy that utilizes cell-selective expression of reprogramming factors to convert supporting cells into outer hair cells. Decibel Therapeutics, Inc. has a strategic collaboration with Regeneron Pharmaceuticals, Inc. to develop gene therapies for monogenic forms of congenital hearing loss. The company was formerly known as Hearing Inc. and changed its name to Decibel Therapeutics, Inc. in April 2014. Decibel Therapeutics, Inc. was incorporated in 2013 and is headquartered in Boston, Massachusetts."
RGTI,"Rigetti Computing, Inc.",Technology,Computer Hardware,USA,"Rigetti Computing, Inc. operates as an integrated systems company. The company builds quantum computers and the superconducting quantum processors that power them. Its machines are integrated into various public, private, or hybrid clouds through its Quantum Cloud Services platform. The company was founded in 2013 and is based in Berkeley, California."
KD,"Kyndryl Holdings, Inc.",Technology,Information Technology Services,USA,"Kyndryl Holdings, Inc. operates as a technology services company and IT infrastructure services provider worldwide. The company offers cloud services; core enterprise and cloud services; application, data, and artificial intelligence services; digital workplace services; security and resiliency services; and network services and edge services. It serves financial, telecommunications, retail, automobile, and transportation industries. The company was incorporated in 2020 and is headquartered in New York, New York."
XIN,"Xinyuan Real Estate Co., Ltd.",Real Estate,Real Estate - Development,China,"Xinyuan Real Estate Co., Ltd., together with its subsidiaries, engages in residential real estate development and construction in the People's Republic of China, the United States, and internationally. It develops residential projects, such as multi-layer apartment buildings, sub-high-rise apartment buildings, high-rise apartment buildings; and auxiliary services and amenities, such as retail outlets, leisure and health facilities, kindergartens, and schools, as well as office, mixed-use, and commercial properties. The company also acquires development sites through public auctions of government land and acquisitions of entities. In addition, it provides property management services for its developments and other real estate-related services; landscaping, engineering and management, real estate consulting, leasing management, management consulting, and technical services; operates retail stores; and installs intercom systems. Further, it engages in the purchase, sale, lease, and brokerage of real estate; sale of construction materials; development and sale of robots; operation of internet platform for real estate property financing; and provision of electronic commerce and catering services. Xinyuan Real Estate Co., Ltd. was founded in 1997 and is based in Beijing, the People's Republic of China."
MSGM,Motorsport Games Inc.,Communication Services,Electronic Gaming & Multimedia,USA,"Motorsport Games Inc. develops and publishes multi-platform racing video games in the United States. It operates through Gaming and Esports segments. The company offers video games for game consoles, personal computer, and mobile platforms through various retail and digital channels, including full-game and downloadable content. It also organizes and facilitates esports tournaments, competitions, and events for its licensed racing games, as well as on behalf of third-party racing game developers and publishers. The company sells its video game products through various retail and digital channels. Motorsport Games Inc. was founded in 2018 and is headquartered in Miami, Florida. Motorsport Games Inc. operates as a subsidiary of Motorsport Network LLC."
NEWR,"New Relic, Inc.",Technology,Software - Infrastructure,USA,"New Relic, Inc., a software-as-a-service company, delivers a software platform for customers to collect telemetry data and derive insights from that data in a unified front-end application. It offers a suite of products on its open and extensible cloud-based platform, which enables users to collect, store, and analyze telemetry data. The company's platform also provides New Relic Instant Observability, an open-source ecosystem of quickstarts that delivers pre-built integrations, dashboards, and alerts for approximately 450 technologies and frameworks; and supports custom app development through common open-source frameworks, a library of existing applications, and a development environment. It sells its products through direct sales organizations, and online and offline sales in the United States and internationally. New Relic, Inc. was founded in 2007 and is headquartered in San Francisco, California."
ZCMD,Zhongchao Inc.,Healthcare,Health Information Services,China,"Zhongchao Inc. provides healthcare information, education, and training services in the People's Republic of China. The company offers online and onsite health information services, healthcare education programs, and healthcare training products, including clinical practice training, open classes of popular medical topics, interactive case studies, academic conference and workshops, continuing education courses, and articles and short videos with educational healthcare content. It also provides customized medical courses and medical training services; and patient management services through online platform under the Zhongxun brand. The company operates through its mdmooc.org online platform under the MDMOOC brand; and Sunshine Health Forums, a Wechat subscription account and mobile app. It serves enterprises, non-for-profit organizations, and medical journals, as well as healthcare professionals, nurses, doctors, and other healthcare workers. The company was founded in 2012 and is headquartered in Shanghai, China."
COEP,"Coeptis Therapeutics, Inc.",Healthcare,Biotechnology,USA,"Coeptis Therapeutics Holdings, Inc., a biopharmaceutical company, develops and commercializes generic and branded pharmaceutical products and cell therapy platforms for patients with cancer. Its product portfolio consists of CD38-GEAR-NK, a cell therapy for the treatment of CD38-related cancers, including multiple myeloma, chronic lymphocytic leukemia, and acute myeloid leukemia; SNAP-CAR, a CAR T cell therapy platform co-administered with tagged, tumor-specific antibodies to potentially target different tumor types, including hematological malignancies and solid tumors. and CD38-Diagnostic, an in vitro screening tool to analyze if cancer patients might be appropriate candidates for anti-CD38 mAb therapy. The company has collaboration with Statera BioPharma to develop and commercialize STAT-201 for Crohn's disease; and Vici Health Sciences, LLC to co-develop and share ownership rights to CPT60621 for the treatment of Parkinson's Disease. Coeptis Therapeutics Holdings, Inc. was founded in 2017 and is headquartered in Wexford, Pennsylvania."
VRCA,Verrica Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,"Verrica Pharmaceuticals Inc., a dermatology therapeutics company, develops and commercializes treatments for people with skin diseases in the United States. The company's lead product candidate includes VP-102 for the treatment of molluscum contagiosum; that has completed Phase II clinical trial for the treatment of external genital warts; and which is in Phase II clinical trial for treating common warts. It is also developing cantharidin-based product candidate, VP-103 for treating plantar warts. The company has a license and collaboration agreement with Torii Pharmaceutical Co., Ltd. for the development and commercialization of its product candidates for the treatment of molluscum contagiosum and common warts in Japan, including VP-102; and a license agreement with Lytix Biopharma AS to develop and commercialize LTX-315 for dermatological oncology indications. Verrica Pharmaceuticals Inc. was incorporated in 2013 and is headquartered in West Chester, Pennsylvania."
SKYT,"SkyWater Technology, Inc.",Technology,Semiconductors,USA,"SkyWater Technology, Inc., together with its subsidiaries, provides semiconductor development and manufacturing services. The company offers engineering and process development support services to co-create technologies with customers; and semiconductor manufacturing services for various silicon-based analog and mixed-signal, power discrete, microelectromechanical systems, and rad-hard integrated circuits. It serves customers operating in the computation, aerospace and defense, automotive and transportation, bio-health, consumer, and industrial/internet of things industries. The company was incorporated in 2017 and is headquartered in Bloomington, Minnesota."
WFRD,Weatherford International plc,Energy,Oil & Gas Equipment & Services,USA,"Weatherford International plc, an energy services company, provides equipment and services for the drilling, evaluation, completion, production, and intervention of oil, geothermal, and natural gas wells worldwide. The company operates in two segments, Western Hemisphere and Eastern Hemisphere. It offers artificial lift systems, including reciprocating rod, progressing cavity pumping, gas, hydraulic, plunger, and hybrid lift systems, as well as related automation and control systems; pressure pumping and reservoir stimulation services, such as acidizing, fracturing, cementing, and coiled-tubing intervention; and drill stem test tools, surface well testing, and multiphase flow measurement services. The company also provides safety, downhole reservoir monitoring, flow control, and multistage fracturing systems, as well as sand-control technologies, and production and isolation packers; liner hangers to suspend a casing string in high-temperature and high-pressure wells; cementing products, including plugs, float and stage equipment, and torque-and-drag reduction technology for zonal isolation; and pre-job planning and installation services. In addition, it offers directional drilling services, and logging and measurement services while drilling; services related to rotary-steerable systems, high-temperature and high-pressure sensors, drilling reamers, and circulation subs; rotating control devices and advanced automated control systems, as well as closed-loop drilling, air drilling, managed-pressure drilling, and underbalanced drilling services; open hole and cased-hole logging services; and intervention and remediation services. Further, the company provides tubular handling, management, and connection services; and re-entry, fishing, wellbore cleaning, and well abandonment services, as well as patented bottom hole, tubularhandling equipment, pressure-control equipment, and drill pipe and collars. The company was incorporated in 1972 and is based in Houston, Texas."
HILS,"Hillstream BioPharma, Inc.",Healthcare,Biotechnology,USA,"Hillstream BioPharma, Inc., a pre-clinical biotechnology company, develops novel therapeutic candidates targeting ferroptosis, an anti-cancer mechanism resulting in iron mediated cell death (IMCD) for the treatment resistant cancers. The company's product candidate is HSB-1216, an IMCD inducer targeting solid tumors. It also develops HSB-888, a dual Quatramer loaded IMCD inducer coupled with its anthracycline analogue for solid tumors; HSB-510, a targeted bifunctional inhibitory compound in Quatramer with single digit nanomolar IC50 against PI3K-delta and HDAC6, which is also known to downregulate; and HSB-114, an immunotherapeutic agent, which uses its Quatramer technology to deliver tumor necrosis factor-alpha gene into cancer cells. The company was incorporated in 2017 and is based in Bridgewater, New Jersey."
APCX,AppTech Payments Corp.,Technology,Software - Infrastructure,USA,"AppTech Payments Corp., a financial technology company, provides electronic payment processing technologies and merchant services in the United States. Its merchant services offer financial processing for businesses to accept cashless and/or contactless payments, such as credit cards, automatic clearing house, wireless payments, and others. In addition, the company offers integrated solutions for frictionless digital and mobile payment acceptance, including acceptance of alternative payment methods, as well as multi-use case, multi-channel, API-driven, and account-based issuer processing for card, digital tokens, and payment transfer transaction services. The company was formerly known as AppTech Corp. AppTech Payments Corp. was incorporated in 1998 and is headquartered in Carlsbad, California."
NYT,The New York Times Company,Communication Services,Publishing,USA,"The New York Times Company, together with its subsidiaries, provides news and information for readers and viewers across various platforms worldwide. It offers The New York Times (The Times), a daily and Sunday newspaper in the United States, as well as international edition of The Times; and operates the NYTimes.com Website. The company also transmits articles, graphics, and photographs from The Times and other publications to approximately 1,500 newspapers, magazines, and websites; licenses electronic databases to resellers in the business, professional, and library markets; and offers magazine licensing, news digests, book development, and rights and permissions. In addition, it engages in the live events business, which hosts physical and virtual live events to connect audiences with journalists and outside thought leaders; direct-sold website, mobile application, podcast, email, and video advertisements, as well as digital advertising services; operates Wirecutter, a product review and recommendation products; develops mobile applications, including games and cooking products; prints and distributes products for third parties; and offers other products and services. The company was founded in 1851 and is headquartered in New York, New York."
