Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200,Description
WVE,Wave Life Sciences Ltd.,Healthcare,Biotechnology,Singapore,415930000.0,,4.74,-0.0989,365809.0,Top Losers,1,-,-2.27,28.54%,93.90M,-7.24%,-,-1.33,0.00%,72.79M,-13.35%,-152.90M,-,-0.41,78.70%,2.10% / 2.09,7.97%,4.20M,99.03,38.30%,-0.58%,1.53M,93.47%,-0.05,-,33.80%,-79.50%,8.57,93.47%,1.39,3.41,-,-,1.16,7.12,-32.29%,-,-,0.70%,-390.20%,-33.43%,-0.88,-,2.00,106.50%,-,308.62%,0.44,235,2.00,-99.20%,-,44.83,8.41%,8.47%,Yes,-,-238.10%,-,0.50,5.26,Yes,-,Nov 10 BMO,-,731.01K,2.30,-3.90%,-7.32%,31.82%,"Wave Life Sciences Ltd., a clinical stage genetic medicine company, designs, optimizes, and produces novel stereopure oligonucleotides through PRISM, a discovery and drug developing platform. It is developing oligonucleotides target ribonucleic acid to reduce the expression of disease-promoting proteins or restore the production of functional proteins, or modulate protein expression. The company also develops WVE-004, a C9orf72 molecule for the treatment of amyotrophic lateral sclerosis and frontotemporal dementia; WVE-003, a mutant huntingtin SNP3 molecule for the treatment of Huntington's disease; WVE-N531, an Exon 53 molecule for the treatment of Duchenne muscular dystrophy; and ATXN3, a discovery stage program for the treatment of spinocerebellar ataxia 3, as well as multiple preclinical programs for CNS disorders. In addition, it focuses on developing GalNAc-conjugated AIMers to treat hepatic indications comprising Alpha-1 antitrypsin deficiency (AATD); and two preclinical programs, such as Usher syndrome type 2A (USH2A) and retinitis pigmentosa due to a P23H mutation in the RHO gene (RhoP23H) for the treatment of retinal diseases. It has collaboration agreements with Pfizer Inc., Takeda Pharmaceutical Company Limited, University of Oxford, University of Massachusetts, Western Washington University, Grenoble Institute of Neurosciences, IRBM S.p.A, University of Louisville, and University College London. The company was incorporated in 2012 and is based in Singapore."
AIRS,"AirSculpt Technologies, Inc.",Healthcare,Medical Care Facilities,USA,376390000.0,,7.03,-0.0987,466573.0,Top Losers,1,-,-0.39,29.70%,55.64M,12.48%,60.09,0.12,1.57%,41.55M,55.53%,-21.60M,-,-0.03,65.20%,4.97% / 5.44,35.71%,165.60M,2.27,39.20%,0.45%,2.06M,-16.37%,1.30,5.41,175.00%,-10.50%,7.00,-44.73%,0.14,49.52,-,-25.20%,2.69,14.80,90.00%,-,-,-,9.30%,-52.50%,-,-,0.70,-,66.20%,161.34%,0.47,240,0.70,12.10%,-6.50%,69.60,9.62%,8.44%,No,1.14,-191.60%,-13.10%,1.23,7.80,Yes,1.13,Nov 10 AMC,-,379.45K,2.20,24.30%,62.18%,6.68%,"AirSculpt Technologies, Inc., together with its subsidiaries, focuses on operating as a holding company for EBS Intermediate Parent LLC that provides body contouring procedure services in the United States. It offers custom body contouring using its AirSculpt procedure that removes unwanted fat in a minimally invasive procedure. The company provides fat removal procedures across treatment areas; and fat transfer procedures that use the patient's own fat cells to enhance the breasts, buttocks, hips, or other areas. Its body contouring procedures also include the Power BBL, a Brazilian butt lift procedure; the Up a Cup, a breast enhancement procedure; and the Hip Flip, an hourglass contouring procedure. As of March 10, 2022, it operated 19 centers across 15 states. AirSculpt Technologies, Inc. was founded in 2012 and is headquartered in Miami Beach, Florida."
EMBK,"Embark Technology, Inc.",Technology,Software - Application,USA,118630000.0,,4.97,-0.098,187424.0,"['Top Losers', 'Most Volatile']",2,-,-6.37,0.90%,23.14M,0.40%,-,-6.67,194.97%,17.47M,52.92%,-144.60M,-,-1.75,63.70%,5.59% / 3.72,-12.96%,-,-,-476.80%,6.90%,0.98M,-50.60%,9.05,0.55,-23.50%,-53.90%,35.20,-94.19%,-,-,-,-63.50%,2.02,134.40,51.06%,-,-,-,-,-96.30%,-,-,12.80,-,-,146.04%,0.63,231,12.80,-,-,57.39,16.67%,15.87%,Yes,0.01,28.10%,-,0.71,5.51,Yes,0.01,Nov 08 BMO,-,262.34K,2.00,14.89%,36.70%,-67.43%,"Embark Technology, Inc. develops self-driving software solutions for the trucking industry in the United States. Its solutions include Embark Driver, an autonomous trucking software; Embark Universal Interface, an interoperable self-driving stack that works across truck OEM platforms; and Embark Guardian, a cloud-based autonomous fleet management solution that gives carriers control over air updates, remote vehicle monitoring, remote vehicle assist, dispatching and access to real time data, such as weather and construction. The company was incorporated in 2016 and is headquartered in San Francisco, California."
MAPS,"WM Technology, Inc.",Technology,Software - Application,USA,198390000.0,3.17,1.29,-0.09789999999999999,680505.0,"['Top Losers', 'Most Volatile']",2,-,0.41,9.40%,89.55M,-2.27%,-,-0.19,-1.76%,74.07M,16.22%,27.90M,-,-0.13,55.60%,5.17% / 3.60,-33.16%,220.40M,0.90,152.70%,-1.52%,3.83M,-62.72%,1.29,1.00,17.40%,7.10%,3.51,-75.71%,0.22,5.80,-,28.70%,0.80,8.35,27.72%,-,-,-,-11.90%,-84.55%,-,-,1.70,-,93.60%,60.85%,0.13,606,1.70,-0.80%,-23.50%,52.91,11.75%,10.45%,Yes,0.00,-118.90%,12.70%,0.64,1.43,Yes,0.00,Nov 07 AMC,0.00%,1.06M,2.40,3.78%,12.42%,-53.45%,"WM Technology, Inc. provides ecommerce and compliance software solutions to retailers and brands in cannabis market in the United States, Canada, and internationally. The company offers Weedmaps marketplace that allows cannabis users to search for and browse cannabis products from retailers and brands, and reserve products from local retailers; and information on the cannabis plant, and the industry and advocate related services for legalization. It also provides WM Business suite of monthly subscription-based software solutions, including WM Orders, WM Dispatch, WM Store, WM Dashboard, integrations, and API platform, as well as access to its WM Retail and WM Exchange products. In addition, the company offers advertising solutions; Sprout, a customer relationship management solution; and Cannveya, a delivery and logistics software solution. WM Technology, Inc. was founded in 2008 and is headquartered in Irvine, California."
HLLY,Holley Inc.,Consumer Cyclical,Auto Parts,USA,254000000.0,3.5,2.13,-0.0975,1726381.0,"['Top Losers', 'Most Volatile']",2,-,0.61,1.00%,116.96M,-37.90%,5.16,0.41,-2.20%,107.16M,-12.70%,71.00M,-,0.02,90.20%,2.04% / 2.70,-34.26%,714.10M,0.36,-182.60%,-1.43%,2.18M,-65.59%,3.58,0.59,50.73%,5.70%,5.50,-81.45%,0.14,15.30,-,19.60%,1.88,14.68,0.47%,-,-,-,5.60%,-85.49%,-,-,1.00,-,39.40%,13.29%,0.28,1721,3.40,-3.10%,10.50%,33.34,11.87%,8.39%,Yes,1.53,205.50%,9.90%,2.13,2.36,Yes,1.52,Nov 14 AMC,0.00%,810.01K,2.20,-28.02%,-18.42%,-65.59%,"Holley Inc. designs, manufactures, and markets automotive aftermarket products for car and truck enthusiasts in the United States, Canada, Europe, and China. The company's products include carburetors, fuel pumps, fuel injection systems, nitrous oxide injection systems, superchargers, exhaust headers, mufflers, distributors, ignition components, engine tuners, automotive performance plumbing products, and exhaust products as well as shifters, converters, transmission kits, transmissions, tuners, and automotive software. It also offers wheels, chassis and suspension products, helmets, head and neck restraints, seat belts, firesuits, and electronic control and monitoring systems. The company sells its products under the Holley, Holley EFI, APR, MSD, Flowmaster, Powerteq, Accel, and Simpson brands to retailers directly, as well as through distributors and online channel. The company was founded in 1903 and is headquartered in Bowling Green, Kentucky."
EIGR,"Eiger BioPharmaceuticals, Inc.",Healthcare,Biotechnology,USA,92090000.0,,2.04,-0.0973,458700.0,Top Losers,1,-,-2.41,5.44%,44.01M,3.03%,-,-1.85,5.03%,41.76M,72.88%,-93.40M,-,-0.54,70.70%,2.88% / 1.19,-53.42%,14.10M,6.53,56.80%,2.10%,1.20M,-76.52%,1.78,1.15,19.20%,-63.60%,9.20,-54.77%,2.68,0.76,-,-106.50%,0.96,10.02,72.88%,-,-,33.80%,-73.90%,-79.64%,1.92,-,5.30,-,88.70%,112.50%,0.18,54,5.40,33.30%,-,58.88,8.81%,9.69%,Yes,0.50,5.90%,-,0.45,2.26,Yes,0.50,Nov 03 AMC,-,1.01M,1.00,25.58%,6.35%,-63.72%,"Eiger BioPharmaceuticals, Inc., a commercial-stage biopharmaceutical company, focuses on the development and commercialization of targeted therapies for rare and ultra-rare diseases in the United States and internationally. Its lead product candidate is Lonafarnib, an orally bioavailable, small molecule, which is in Phase III clinical trials to treat hepatitis delta virus infection. The company's product candidate also include Lambda, which targets type III interferon receptors that has completed Phase II clinical trials; Lonafarnib for the treatment of progeria and progeroid laminopathies; and Avexitide for the treatment of congenital hyperinsulinism, as well as has completed Phase II clinical trials to treat post-bariatric hypoglycemia. Eiger BioPharmaceuticals, Inc. was founded in 2008 and is headquartered in Palo Alto, California."
HOV,"Hovnanian Enterprises, Inc.",Consumer Cyclical,Residential Construction,USA,410040000.0,2.31,66.89,-0.0969,118418.0,Top Losers,1,-,28.91,0.50%,6.48M,10.45%,-,-,0.00%,5.93M,51.23%,195.10M,-,-,53.70%,5.66% / 3.74,67.18%,2.92B,0.14,-66.30%,-6.77%,0.34M,42.71%,38.25,1.75,-,8.00%,-,-28.96%,53.21,1.26,-,123.00%,33.20,102.00,58.96%,-,5.33,20.30%,18.60%,-34.42%,2.59,-,-,3.60%,24.00%,101.48%,3.93,1866,-,8.90%,13.00%,65.69,8.66%,6.84%,No,5.21,-4.40%,6.70%,1.32,74.07,Yes,5.21,Dec 08 BMO,0.00%,89.86K,3.00,18.65%,33.90%,46.66%,"Hovnanian Enterprises, Inc. designs, constructs, markets, and sells residential homes in the United States. It offers single-family detached homes, attached townhomes and condominiums, urban infill, and active lifestyle homes with amenities, such as clubhouses, swimming pools, tennis courts, tot lots, and open areas. The company markets and builds homes for first-time buyers, first-time and second-time move-up buyers, luxury buyers, active lifestyle buyers, and empty nesters. It also provides mortgage loans and title insurance services. The company was founded in 1959 and is headquartered in Matawan, New Jersey."
GIII,"G-III Apparel Group, Ltd.",Consumer Cyclical,Apparel Retail,USA,711120000.0,4.14,14.93,-0.0968,876319.0,Top Losers,1,-,3.60,5.50%,47.49M,-13.30%,4.74,3.15,11.93%,41.26M,0.07%,176.50M,-,0.57,93.50%,6.49% / 2.23,-20.84%,3.12B,0.23,739.30%,-0.78%,2.68M,-33.35%,34.16,0.44,8.59%,6.00%,15.50,-43.72%,3.16,4.72,-10.70%,11.20%,11.60,31.70,8.90%,-,-,29.90%,11.90%,-52.90%,2.67,-,1.70,3.00%,34.40%,28.71%,0.69,2900,3.10,6.20%,8.10%,41.16,4.67%,3.81%,Yes,0.54,-41.60%,5.70%,0.73,16.53,Yes,0.49,Dec 01 BMO,0.00%,1.20M,2.80,-7.12%,-1.56%,-24.03%,"G-III Apparel Group, Ltd. designs, sources, and markets women's and men's apparel in the United States and internationally. The company operates through two segments, Wholesale Operations and Retail Operations. Its products include outerwear, dresses, sportswear, swimwear, women's suits, and women's performance wear; and women's handbags, footwear, small leather goods, cold weather accessories, and luggage. The company markets apparel and other products under the proprietary brand names, including DKNY, Donna Karan, Vilebrequin, Eliza J, Jessica Howard, Andrew Marc, Marc New York, Sonia Rykiel, Black Rivet, G-III Sports by Carl Banks, and G-III for Her; and licensed brands, such as Calvin Klein, Tommy Hilfiger, Karl Lagerfeld Paris, Levi's, Guess?, Kenneth Cole, Cole Haan, Vince Camuto, and Dockers. It has licenses with the National Football League, Major League Baseball, National Basketball Association, Major League Baseball, and National Hockey League, as well as approximately 150 U.S. colleges and universities. The company offers its products to department, specialty, and mass merchant retail stores. As of January 31, 2022, it operated 96 Vilebrequin retail stores; 60 DKNY and Karl Lagerfeld Paris stores; and 26 DKNY stores. The company also sells its products online. G-III Apparel Group, Ltd. was founded in 1956 and is headquartered in New York, New York."
PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,USA,5100000000.0,12.73,80.29,-0.0967,2798756.0,Top Losers,1,-,6.30,0.50%,64.80M,-13.75%,8.88,9.04,5.34%,63.17M,1.11%,452.50M,-,1.94,100.00%,3.05% / 1.81,52.12%,8.97B,0.57,183.00%,-4.69%,1.93M,26.54%,74.43,1.08,9.08%,3.80%,82.81,-16.70%,7.19,11.17,-6.04%,8.80%,43.49,105.43,13.74%,0.15,-,14.30%,13.80%,-23.85%,2.06,0.19%,0.70,2.20%,57.40%,84.62%,3.46,19000,1.40,-2.20%,4.40%,42.18,4.42%,3.51%,Yes,0.47,-174.20%,5.00%,2.64,88.89,Yes,0.44,Nov 30 AMC,1.80%,1.06M,2.40,-8.40%,3.18%,24.42%,"PVH Corp. operates as an apparel company worldwide. The company operates through six segments: Tommy Hilfiger North America, Tommy Hilfiger International, Calvin Klein North America, Calvin Klein International, Heritage Brands Wholesale, and Heritage Brands Retail. It designs, markets, and retails men's, women's, and children's apparel and accessories, including branded dress shirts, neckwear, sportswear, jeans wear, performance apparel, intimate apparel, underwear, swimwear, swim-related products, handbags, accessories, footwear, outerwear, home furnishings, luggage products, sleepwear, loungewear, hats, scarves, gloves, socks, watches and jewelry, eyeglasses and non-ophthalmic sunglasses, fragrance, home bed and bath furnishings, small leather goods, and other products. The company offers its products under its own brands, such as Tommy Hilfiger, Calvin Klein, Van Heusen, IZOD, ARROW, Warner's, Olga, Geoffrey Beene, and True&Co., as well as various other owned, licensed, and private label brands. It also licenses its own brands over various products. The company distributes its products at wholesale in department, chain, and specialty stores, as well as through warehouse clubs, mass market, and off-price and independent retailers; and through company-operated full-price, outlet stores, and concession locations, as well as through digital commerce sites. It markets its products to approximately 40 countries. PVH Corp. was founded in 1881 and is based in New York, New York."
DUOT,"Duos Technologies Group, Inc.",Technology,Software - Application,USA,31500000.0,,4.68,-0.0965,51939.0,"['Top Losers', 'Most Volatile']",2,-,-1.06,2.00%,6.45M,7.59%,-,-0.78,247.65%,5.36M,137.56%,-6.10M,-,-0.09,31.40%,0.10% / 0.18,40.12%,12.80M,2.46,20.00%,-0.24%,0.01M,23.16%,0.67,6.99,24.50%,-45.90%,7.50,-18.47%,0.74,6.30,-,-359.60%,1.80,6.24,134.00%,-,-,38.90%,298.30%,-25.00%,1.07,-,1.30,6.20%,25.20%,159.88%,0.56,60,1.40,135.30%,-48.80%,68.33,18.73%,15.54%,No,0.02,56.30%,-47.80%,1.73,5.18,Yes,0.00,Feb 07 BMO,-,29.95K,2.00,36.57%,71.85%,31.48%,"Duos Technologies Group, Inc. designs, develops, deploys, and operates intelligent technology solutions in North America. Its technology platforms used in its solutions include centraco, an enterprise information management system; and truevue360, an integrated platform to develop and deploy artificial intelligence algorithms, including machine learning, computer vision, object detection, and deep neural network-based processing for real-time applications, as well as Praesidium to manage various image capture devices and some sensors for input into the centraco software. The company's proprietary applications include Railcar Inspection Portal for the automated inspection of freight and transit trains while in motion; Vehicle Undercarriage Examiner to inspect the undercarriage of railcars; Thermal Undercarriage Examiner; Enterprise Command and Control Suite for information consolidation, connectivity, and communications; and Automated Logistics Information Systems, a proprietary intelligent system to automate security gate operations. It also provides IT asset management services for data centers operators; maintenance and technical support services; consulting and auditing; software licensing with optional hardware sales; and training services. The company is headquartered in Jacksonville, Florida."
MYSZ,"My Size, Inc.",Technology,Software - Application,Israel,2670000.0,,1.88,-0.0962,223247.0,"['Top Losers', 'New Low']",2,-,-0.60,22.05%,1.46M,-33.57%,-,-,0.00%,1.06M,-33.80%,-,-,-,7.51%,2.73% / 0.24,-58.84%,1.97M,1.35,-,-,0.03M,-67.66%,5.38,0.35,-,-,2.00,-78.58%,-,-,-,-,1.91,12.50,-30.88%,-,-,-,-,-84.96%,-,-,-,-,-,-1.57%,0.34,30,-,2241.90%,-,25.15,24.59%,10.98%,No,-,-,-,1.83,2.08,Yes,-,-,-,121.95K,2.00,-31.91%,-38.58%,-61.82%,"My Size, Inc. develops and commercializes mobile device measurement solutions for e-commerce fashion/apparel, shipping/parcel, and do it yourself industries in Israel. It offers MySizeID, an application that enables consumers to create an online profile of their personal measurements to get the right fit; BoxSize, a parcel measurement application that allows customers to measure the size of their parcel with their smartphone, calculate shipping costs, and arrange for a convenient pick-up time for the package; SizeUp app, which allows users to utilize their smartphone as a tape measure; and SizeIT, a smart measuring tape SDK that provides users with the ability to instantly and accurately measure objects with a quick movement of their mobile device. The company was formerly known as Knowledgetree Ventures, Inc. and changed its name to My Size, Inc. in January 2014. My Size, Inc. was incorporated in 1999 and is headquartered in Airport City, Israel."
PSNL,"Personalis, Inc.",Healthcare,Biotechnology,USA,135150000.0,,3.77,-0.0959,663965.0,"['Top Losers', 'Most Volatile']",2,-,-2.26,2.40%,45.92M,49.60%,-,-2.38,-4.68%,44.99M,59.75%,-102.40M,-,-0.64,79.80%,3.77% / 3.13,62.50%,69.00M,1.96,-23.80%,-4.65%,1.70M,-6.68%,5.28,0.71,2.90%,-28.20%,8.20,-67.78%,5.38,0.70,-13.70%,-37.10%,1.73,12.96,90.40%,-,-,-,-20.80%,-70.91%,1.52,-,6.40,-,27.60%,117.92%,0.37,325,6.60,-33.20%,-,67.70,21.61%,12.43%,No,0.01,-45.30%,-,1.23,4.17,Yes,0.00,Nov 02 AMC,-,541.10K,2.00,39.76%,54.26%,11.10%,"Personalis, Inc. operates as a cancer genomics company worldwide. The company provides sequencing and data analysis services to support the development of cancer therapies and large-scale genetic research programs. It offers NeXT Platform, which provides data analysis for tumor and its immune microenvironment, from a single limited tissue or plasma sample; ImmunoID Next for tumor profiling from tissue; NeXT Liquid Biopsy for tumor profiling from plasma; NeXT Personal, a liquid biopsy offering for personalized tumor tracking for patients; NeXT Dx Test, a genomic cancer profiling test enabling composite biomarkers for cancer treatment; and NeXT SHERPA and NeXT NEOPS for neoantigen prediction capabilities. The company also provides ACE platform for clinical and therapeutic applications such as neoantigen prediction, biomarker identification, and novel drug target selection. It serves biopharmaceutical customers, universities, non-profits, and government entities. The company has partnership with Mayo Clinic; MapKure, LLC; SpringWorks Therapeutics, Inc.; and Moores Cancer Center. Personalis, Inc. was incorporated in 2011 and is headquartered in Menlo Park, California."
IFBD,"Infobird Co., Ltd",Technology,Software - Application,China,7520000.0,,1.14,-0.09519999999999999,52108.0,Top Losers,1,-,-0.59,33.77%,6.59M,-18.57%,-,-,0.00%,4.37M,42.88%,-,-,-,4.98%,0.85% / 0.48,33.01%,7.73M,0.97,-,-,0.04M,-47.45%,1.41,0.81,-,-,-,-74.27%,-,-,-,-,0.55,6.40,90.00%,-,-,-,-,-82.19%,-,-,-,-,-,107.08%,0.19,391,-,-42.50%,-,56.51,16.45%,17.89%,No,-,-,-,0.67,1.26,Yes,-,-,-,77.67K,-,14.34%,33.95%,-35.14%,"Infobird Co., Ltd, through its subsidiaries, operates as a software-as-a-service (SaaS) provider of artificial intelligence (AI) enabled customer engagement solutions in the People's Republic of China. It offers customer relationship management cloud-based services, such as SaaS and business process outsourcing services to its clients. The company also provides AI-powered cloud-based sales force management software, including intelligent quality inspection and intelligent training software to enable its clients to monitor, benchmark, and enhance the performances of agents; consumer product and retail store digitalization solutions; and other services, including software license selling, data analysis, and other professional services. It serves corporate clients in the finance, education, public services, healthcare, and consumer products industries. The company was incorporated in 2020 and is based in Beijing, the People's Republic of China."
SOND,Sonder Holdings Inc.,Consumer Cyclical,Lodging,USA,303150000.0,,1.44,-0.0943,824013.0,"['Top Losers', 'Channel']",2,-,-0.79,27.56%,215.68M,2.86%,-,-0.57,-0.08%,157.95M,11.63%,-169.30M,-,-0.18,57.50%,6.13% / 11.79,-34.55%,413.00M,0.73,-17.60%,19.22%,9.68M,-22.16%,0.18,8.00,18.60%,-5.60%,3.42,-85.59%,1.51,0.96,-,56.10%,0.90,10.88,16.13%,-,-,-,46.80%,-86.76%,-,-,1.40,-,88.10%,59.82%,0.15,1200,1.40,84.40%,-77.60%,50.88,12.09%,10.18%,Yes,4.26,-15.90%,-16.60%,1.00,1.59,Yes,4.26,Nov 09 AMC,-,820.93K,1.30,4.27%,3.08%,-20.71%,"Sonder Holdings Inc. engages in the hospitality business. It operates and manages properties comprising 1-, 2-, and 3+ bedroom; and studio apartments, as well as 1-bedroom hotel rooms for leisure travelers and families, digital nomads, and professionals in North America, Europe, and the Middle East. As of December 31, 2021, it had approximately 7,600 live units across 38 markets and 10 countries, as well as approximately 10,500 additional contracted units. The company is headquartered in San Francisco, California."
GDC,GD Culture Group Limited,Communication Services,Electronic Gaming & Multimedia,China,9250000.0,,5.0,-0.0942,183827.0,"['Top Losers', 'Most Volatile']",2,-,-5.85,47.46%,1.43M,19.90%,-,-,0.00%,0.96M,65.84%,-8.00M,-,-,4.90%,0.42% / 0.06,40.88%,15.50M,0.60,-158.00%,18.26%,0.00M,-49.48%,7.52,0.66,-,-62.20%,-,-83.97%,-,-,-,-101.30%,1.80,33.90,139.37%,-,-,-30.40%,-49.70%,-85.25%,1.27,-,0.20,-,-7.10%,177.78%,0.63,56,0.20,-,-,66.23,22.22%,17.79%,No,0.00,67.90%,-,2.83,5.52,Yes,0.00,-,-,64.88K,-,25.01%,63.70%,-47.55%,"GD Culture Group Limited, through its subsidiaries, focuses on research, development, and application of Internet of Things (IoT) and electronic token digital door signs. It creates digital door signs which is the digitalization of a physical store by means of animation and other technical services; and offers electronic tokens, which are used for purchasing virtual real estate properties. The company also offers Wuge Manor, a game that combines Internet of Things and e-commerce based on code chain platform that provides players with access to vendors and business owners in approximately 100 cities in China. The company was formerly known as Code Chain New Continent Limited. GD Culture Group Limited is based in Chengdu, China."
MKFG,Markforged Holding Corporation,Technology,Computer Hardware,USA,268250000.0,,1.26,-0.0935,592769.0,Top Losers,1,-,-0.06,2.10%,189.77M,-13.70%,-,-0.27,-1.76%,163.25M,0.80%,-11.40M,-,-0.07,83.90%,3.09% / 5.86,-36.04%,97.90M,2.74,136.60%,1.10%,5.05M,-53.68%,1.36,0.93,15.60%,-3.30%,2.64,-72.67%,0.85,1.48,-,-4.50%,0.78,4.85,8.62%,-,-,-,-25.00%,-74.02%,-,-,6.20,-,52.90%,61.54%,0.12,374,6.90,5.00%,-88.60%,45.46,10.57%,9.01%,Yes,0.00,-193.20%,-11.60%,0.69,1.39,Yes,0.00,Nov 09 AMC,-,861.64K,2.00,-9.61%,5.50%,-37.87%,"Markforged Holding Corporation produces and sells 3D printers, materials, software, and other related services worldwide. The company offers desktop, industrial, and metal 3D printers; and composite, continuous fiber, and metal parts, as well as advanced 3D printing software. It serves customers in aerospace, military and defense, industrial automation, space exploration, healthcare, and automotive industries. Markforged Holding Corporation was founded in 2013 and is headquartered in Watertown, Massachusetts."
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,USA,12120000000.0,32.81,164.54,-0.0932,1609049.0,"['Top Losers', 'New Low']",2,S&P 500,5.01,0.50%,72.90M,-9.17%,30.00,5.49,-4.16%,72.29M,-7.67%,367.40M,3.65,1.11,94.10%,3.13% / 4.79,-9.52%,1.98B,6.11,20.00%,0.59%,2.27M,-21.37%,20.04,8.21,11.12%,15.30%,188.20,-1.66%,0.43,378.75,9.00%,27.00%,164.49,212.62,-6.28%,1.96,33.56,11.00%,24.40%,-22.61%,0.63,1.19%,1.00,7.00%,42.00%,0.03%,4.58,6847,1.00,8.40%,24.30%,30.65,2.46%,1.87%,Yes,0.17,5.80%,18.50%,3.40,181.46,Yes,0.17,Feb 07 AMC,38.40%,473.10K,2.70,-8.66%,-9.02%,-12.16%,"Jack Henry & Associates, Inc., a financial technology company that connects people and financial institutions through technology and services that reduce the barriers to financial health. It operates through four segments: Core, Payments, Complementary, and Corporate and Other. The company offers information and transaction processing solutions for banks ranging from community to multi-billion-dollar asset institutions under the Jack Henry Banking brand; core data processing solutions for various credit unions under the Symitar brand; and specialized financial performance, imaging and payments processing, information security and risk management, retail delivery, and online and mobile solutions to financial institutions and corporate entities under the ProfitStars brand. It also provides a suite of integrated applications required to process deposit, loan, and general ledger transactions, as well as to maintain centralized customer/member information; and complementary products and services that enable core bank and credit union clients to respond to evolving customer/member demands. The company's Jack Henry Banking business brand offers SilverLake, a robust primarily designed for commercial-focused banks; CIF 20/20, a parameter-driven, easy-to-use system for banks; and Core Director, a cost-efficient system with point-and-click operation. Its Symitar business brand provides Episys, a robust designed for credit unions. In addition, the company offers digital products and services and electronic payment solutions; purchases and resells hardware systems, including servers, workstations, scanners, and other devices; and provides implementation, training, and support services. Jack Henry & Associates, Inc. was founded in 1976 and is headquartered in Monett, Missouri."
RAIN,Rain Therapeutics Inc.,Healthcare,Biotechnology,USA,342180000.0,,9.45,-0.0931,116265.0,Top Losers,1,-,-2.68,6.00%,26.57M,2.05%,-,-1.87,131.06%,24.62M,-18.60%,-71.00M,-,-0.56,61.80%,1.06% / 1.57,64.35%,-,-,-226.20%,1.99%,0.26M,20.84%,3.06,3.09,23.00%,-59.20%,18.80,23.21%,2.50,3.77,-,-66.90%,2.15,14.48,18.12%,-,-,-,-,-34.74%,-,-,7.20,-,-,339.53%,1.01,44,7.20,-,-,50.54,8.38%,12.39%,Yes,0.00,2.40%,-,0.70,10.42,Yes,0.00,Nov 10 AMC,-,166.33K,1.70,-5.28%,10.93%,58.69%,"Rain Oncology Inc., a late-stage precision oncology company, engages in developing therapies that target oncogenic drivers to genetically select patients. The company's lead product candidate is milademetan, a small molecule oral inhibitor of MDM2-p53 complex that reactivates p53. It is also developing a preclinical program focused on inducing synthetic lethality in cancer cells by inhibiting RAD52. The company was formerly known as Rain Therapeutics Inc. and changed its name to Rain Oncology Inc. in December 2022. Rain Oncology Inc. was incorporated in 2017 and is headquartered in Newark, California."
