Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own(%),Shs Outstand,Perf Week(%),Forward P/E,EPS next Y,Insider Trans(%),Shs Float,Perf Month(%),Income,PEG,EPS next Q,Inst Own(%),Perf Quarter(%),Sales,P/S,EPS this Y(%),Inst Trans(%),Short Interest,Perf Half Y(%),Book/sh,P/B,EPS next Y Percentage(%),ROA(%),Target Price,Perf Year(%),Cash/sh,P/C,EPS next 5Y(%),ROE(%),52W Range From,52W Range To,Perf YTD(%),Dividend,P/FCF,EPS past 5Y(%),ROI(%),52W High(%),Beta,Dividend %(%),Quick Ratio,Sales past 5Y(%),Gross Margin(%),52W Low(%),ATR,Employees,Current Ratio,Sales Q/Q(%),Oper. Margin(%),RSI (14),Volatility W(%),Volatility M(%),Optionable,Debt/Eq,EPS Q/Q(%),Profit Margin(%),Rel Volume,Prev Close,Shortable,LT Debt/Eq,Payout(%),Avg Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Description,Date,Short Float Percentage(%),Short Float Ratio,Earnings_Date,Earnings_Timing
IINN,Inspira Technologies Oxy B.H.N. Ltd.,Healthcare,Medical Devices,Israel,19240000,,1.72,-0.0886,74782,"['Most Volatile', 'Top Losers']",2,-,-2.31,26.66,7800000,0.51,,-1.6,0.0,7400000.0,32.03,-18000000.0,,-0.36,2.5,33.07,,,134.6,120.35,20000.0,6.11,1.92,0.98,40.4,81.4,9.4,43.29,0.6,3.15,,99.0,0.98,3.20,31.01,,,,,47.18,,,7.5,,,72.45,0.16,21,7.5,,,57.02,7.64,10.39,False,0.09,265.7,,0.65,1.89,True,0.07,,168330,2.0,9.35,26.32,7.68,"Inspira Technologies Oxy B.H.N. Ltd., a specialty medical device company, engages in the research, development, manufacture, and marketing of respiratory support technology to provide an alternative to invasive mechanical ventilation (MV) for the treatment of respiratory failure. Its lead product is the augmented respiration technology system (ART), a respiratory support system comprising minimally invasive, portable dual lumen cannula, which is inserted into the jugular vein and utilizes extra-corporeal direct blood oxygenation to elevate and stabilize declining oxygen saturation levels. The company was formerly known as Insense Medical Ltd. and changed its name to Inspira Technologies Oxy B.H.N. Ltd. in July 2020. The company was incorporated in 2018 and is based in Ra'annana, Israel.",2023-02-09,0.26,0.11,,
LYLT,Loyalty Ventures Inc.,Technology,Software - Infrastructure,USA,45280000,,1.62,-0.0876,276966,"['Most Volatile', 'Top Losers']",2,-,-20.19,19.51,24610000,22.7,2.26,0.78,0.0,19800000.0,30.43,-496800000.0,,0.07,58.0,0.61,727700000.0,0.06,97.7,29.87,1490000.0,45.76,-15.83,,104.4,25.3,6.0,93.69,2.87,0.62,,399.7,0.71,27.14,33.61,,,,0.4,94.1,,,0.8,,16.4,125.46,0.20,1400,1.0,4.1,56.7,36.05,8.45,9.62,True,,100.5,68.3,0.77,1.77,True,,,564390,2.0,19.15,25.13,57.84,"Loyalty Ventures Inc. provides consumer loyalty solutions. The company owns and operates the AIR MILES Reward Program, an end-to-end loyalty platform; and BrandLoyalty, a campaign-based loyalty solution for grocers and other high-frequency retailers. It also offers marketing, customer, and rewards and redemption management services for sponsors. The company helps financial services providers, retailers, and other consumer-facing businesses to create and increase customer loyalty across various touchpoints. Loyalty Ventures Inc. was incorporated in 2021 and is based in Plano, Texas.",2023-02-09,7.55,2.65,2022-11-08,BMO
RIOT,"Riot Blockchain, Inc.",Technology,Software - Application,USA,1190000000,,5.95,-0.0874,10616072,"['Most Active', 'Top Losers']",2,-,-2.63,6.9,167300000,20.85,,-0.21,1.27,154750000.0,5.12,-373200000.0,,-0.14,36.1,11.23,289900000.0,4.12,71.9,9.9,28520000.0,34.92,8.44,0.77,92.4,21.3,9.53,67.59,2.09,3.12,20.0,23.9,3.25,23.66,74.88,,,35.8,1.7,74.94,4.23,,4.5,366.3,40.5,82.42,0.61,335,4.5,28.5,,49.93,9.9,11.38,True,0.0,48.8,,1.12,6.52,True,0.0,,13550000,1.8,6.01,18.76,5.93,"Riot Platforms, Inc., together with its subsidiaries, focuses on bitcoin mining operations in North America. It operates through Bitcoin Mining, Data Center Hosting, and Electrical Products and Engineering segments. As of December 31, 2021, it operated approximately 30,907 miners. The company was formerly known as Riot Blockchain, Inc. Riot Platforms, Inc. was incorporated in 1998 and is headquartered in Castle Rock, Colorado.",2023-02-09,18.43,2.11,,
CANO,"Cano Health, Inc.",Healthcare,Medical Care Facilities,USA,809240000,,1.62,-0.08710000000000001,5365763,Top Losers,1,-,-0.33,11.8,232310000,18.61,,-0.29,0.0,170470000.0,14.44,-71800000.0,,-0.13,68.6,53.7,2470000000.0,0.33,75.2,0.49,26670000.0,65.72,1.75,1.02,32.6,3.3,4.18,74.37,0.05,33.58,,18.8,0.98,9.75,18.61,,,,11.9,83.33,,,,,,65.8,0.16,2150,1.6,33.3,7.6,57.61,11.69,10.89,True,2.28,71.6,2.9,0.70,1.78,True,2.26,,11150000,2.7,16.2,17.09,63.56,"Cano Health, Inc. provides primary care medical services to its members in the United States and Puerto Rico. It owns and operates medical centers enabled by CanoPanorama, a proprietary population health management technology-powered platform that provides the healthcare providers at its medical centers with a 360-degree view of their members with actionable insights to improve care decisions and member engagement. The company also operates pharmacies, as well as provides dental services in its medical centers. As of June 30, 2022, it operated 143 owned medical centers and maintained affiliate relationship with approximately 1000 physicians. Cano Health, Inc. was founded in 2009 and is headquartered in Miami, Florida.",2023-02-09,15.65,2.39,2022-11-09,AMC
MARA,"Marathon Digital Holdings, Inc.",Financial,Capital Markets,USA,900350000,,6.22,-0.0859,18353551,"['Most Active', 'Most Volatile', 'Top Losers']",3,-,-2.41,0.2,116530000,22.41,36.42,0.19,60.82,108040000.0,7.96,-268500000.0,,-0.17,37.5,37.68,149600000.0,6.02,183.7,6.0,51270000.0,62.06,5.36,1.27,107.3,18.0,11.91,76.42,1.38,4.95,50.0,39.2,3.11,32.74,81.51,,,58.7,7.7,81.04,5.02,,5.3,32.7,18.5,99.6,0.86,10,5.3,75.4,,44.07,10.95,15.03,True,0.0,194.2,,0.97,6.81,True,1.25,,27030000,2.3,18.35,6.32,36.45,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. As of December 31, 2021, it had approximately 8,115 bitcoins, which included the 4,794 bitcoins held in the investment fund. The company was formerly known as Marathon Patent Group, Inc. and changed its name to Marathon Digital Holdings, Inc. in February 2021. Marathon Digital Holdings, Inc. was incorporated in 2010 and is headquartered in Las Vegas, Nevada.",2023-02-09,47.45,1.9,2022-11-08,AMC
MOXC,Moxian (BVI) Inc,Communication Services,Internet Content & Information,China,24920000,,1.15,-0.0857,50446,"['Most Volatile', 'Top Losers']",2,-,-0.05,28.51,35550000,17.12,,,0.0,13980000.0,77.67,-1600000.0,,,1.1,23.53,40000.0,582.68,,39.83,280000.0,12.06,1.27,0.99,,10.6,,41.22,0.29,4.3,,11.3,0.43,2.96,155.32,,,29.9,43.4,61.08,3.25,,57.9,59.2,,169.22,0.14,22,57.9,81.4,,50.81,7.66,19.28,True,0.0,8.4,,0.98,1.26,True,0.0,,73160,,6.42,26.13,8.14,"Moxian (BVI) Inc provides internet media marketing and bitcoin mining services. The company operates an online-to-offline business that provides an online platform for small and medium-sized enterprises with physical stores to conduct business online, interact with existing customers, and obtain new ones. It also operates the Games Channel, an application that develops contacts with the mobile gaming industry in China. Moxian (BVI) Inc was incorporated in 2010 and is headquartered in Beijing, the People's Republic of China.",2023-02-09,1.99,3.8,,
BTB,Bit Brother Limited,Consumer Cyclical,Restaurants,China,19520000,,1.96,-0.0842,1225630,Top Losers,1,-,-0.15,0.09,79390000,1.51,,,0.0,8800000.0,82.26,-11800000.0,,,0.2,8.7,800000.0,24.4,81.8,,170000.0,56.66,1.38,1.55,,27.4,,71.42,,,,29.5,1.62,12.00,81.65,,,41.7,12.0,83.75,0.97,,41.6,,41.1,20.38,0.77,67,41.7,,,30.73,8.19,23.75,False,0.0,28.9,,1.32,2.14,True,0.0,,1320000,,46.7,69.09,56.13,"Bit Brother Limited engages in the specialty tea product distribution and retail business in the People's Republic of China and the United States. The company offers tea-based beverages, including fresh milk tea, fruit tea, milk cap tea, etc.; light meals comprising salads, sandwiches, pasta, steak, burritos, and other healthy options; and pastries consisting of fresh baked bread, fresh baked cakes, frosting cakes, etc. As of June 30, 2022, it operated three tea shops, including two flagship and one general stores in the Hunan province, the People's Republic of China. The company was formerly known as Urban Tea, Inc. Bit Brother Limited was incorporated in 2011 and is headquartered in Changsha, the People's Republic of China.",2023-02-09,1.88,0.13,,
NN,NextNav Inc.,Communication Services,Internet Content & Information,USA,359740000,,3.17,-0.08380000000000001,194350,Top Losers,1,-,-0.76,5.3,101400000,5.33,,-0.64,13.03,56200000.0,1.94,-73800000.0,,-0.17,54.0,2.47,3100000.0,116.04,7.1,9.11,2610000.0,5.95,0.91,3.8,45.5,57.8,10.5,57.75,0.69,5.01,,75.0,1.85,8.47,7.85,,,,42.5,62.69,,,8.3,,,70.8,0.23,61,8.3,66.7,,54.39,7.71,7.79,False,0.0,45.6,,0.61,3.46,True,0.0,,457940,2.3,6.7,6.79,1.61,"NextNav Inc. provides next generation global positioning system (GPS) and 3D geolocation services. The company delivers next generation positioning, navigation, and timing solutions through its network-based Pinnacle and TerraPoiNT solutions. Its Pinnacle 3D geolocation service is commercially available in approximately 4,400 cities and towns in the United States; and its TerraPoiNT terrestrial-based encrypted network has deployments in 51 total markets nationally. The company sells its solutions directly to customers or through partners. The company was founded in 2007 and is headquartered in McLean, Virginia.",2023-02-09,4.65,5.71,2022-11-10,AMC
BBAI,"BigBear.ai Holdings, Inc.",Technology,Information Technology Services,USA,476490000,,4.99,-0.0827,6628900,"['Most Active', 'Most Volatile', 'Top Losers']",3,-,-1.6,97.83,126270000,36.94,,-0.35,0.03,4270000.0,532.13,-211000000.0,,-0.1,2.4,356.48,260200000.0,1.83,29.6,40.06,430000.0,146.5,-0.06,,56.8,76.8,5.0,2.95,0.25,21.66,,496.2,0.58,16.12,631.78,,,,26.0,69.42,,,1.8,,25.1,750.0,0.80,665,1.8,1.1,62.0,64.65,32.02,25.1,True,,33.6,81.1,1.58,5.44,True,,,6000000,2.7,61.99,187.25,66.43,"BigBear.ai Holdings, Inc. provides artificial intelligence and machine learning for decision support. The company operates through two segments, Cyber & Engineering and Analytics. The Cyber & Engineering segment offers high-end technology and management consulting services. It focuses in the areas of cloud engineering and enterprise IT, cybersecurity, computer network operations and wireless, systems engineering, and strategy and program planning. The Analytics segment provides high-end technology and consulting services. This segment focuses on the areas of big data computing and analytical solutions, including predictive and prescriptive analytics solutions. Its solutions assist customers in aggregating, interpreting, and synthesizing data to enable real-time decision-making capabilities. The company is headquartered in Columbia, Maryland.",2023-02-09,10.06,0.07,2022-11-09,AMC
KSCP,"Knightscope, Inc.",Industrials,Security & Protection Services,USA,66599999,,1.61,-0.08259999999999999,339014,Top Losers,1,-,-0.98,10.08,36940000,1.52,,,0.0,14060000.0,11.26,-30200000.0,,,9.1,47.39,4099999.9999999995,16.24,129.8,118.79,1440000.0,49.21,-0.94,,,136.3,,78.0,0.29,6.0,,63.9,1.35,9.95,14.55,,,,32.4,83.77,,,2.5,,71.0,19.63,0.14,0,2.5,62.5,,44.09,8.87,7.68,False,,17.8,,1.67,1.75,True,,,288590,,3.94,9.41,41.62,"Knightscope, Inc. designs, develops, builds, deploys, and supports physical security technologies in the United States. The company's solutions combine the physical presence of autonomous security robots (ASR) with real-time on-site data collection and analysis, and a human-machine interface to reduce crime. Its products include K3 and K5 ASRs designed to roam a geo-fenced area autonomously by utilizing numerous sensors and lasers, either on a random basis or based on a particular patrolling algorithm to navigate around people, vehicles, and objects in dynamic indoor or outdoor environments; K1, an ASR for used in indoors or outdoors and at ingress/egress points for both people and vehicles; and K7, a multi-terrain ASR. The company also develops and operates the Knightscope security operations center (KSOC), a browser-based interface, which allows real-time data access service to its clients for alert of an abnormal event; and Knightscope network operations center (KNOC), a custom set of tools that enables it to manage and monitor the network of ASRs with alerts related to critical indicators and statistics, including charging, software, navigation, and temperatures, as well as to execute over-the-air software upgrades, patches, and other related items. In addition, it offers Knightscope+ remote monitoring, an optional service for clients that operate without a fully staffed 24/7 security operations center. The company serves law enforcement agencies, hospitals, and security teams. Knightscope, Inc. was incorporated in 2013 and is headquartered in Mountain View, California.",2023-02-09,10.28,5.0,,
LCID,"Lucid Group, Inc.",Consumer Cyclical,Auto Manufacturers,USA,-2147483648,,10.58,-0.0824,23909260,"['Most Active', 'Top Losers']",2,-,-1.14,1.5,1680000000,12.72,,-1.23,327.32,1610000000.0,46.52,-1877500000.0,,-0.41,72.0,21.96,376900000.0,53.4,572.8,0.84,164890000.0,42.18,1.93,5.97,19.4,25.6,14.18,61.59,1.91,6.02,,51.2,6.09,30.12,54.25,,,,25.9,65.02,,,4.2,,,72.99,1.11,3900,5.0,84148.7,,54.46,7.72,12.62,True,0.65,2.4,,0.99,11.53,True,0.64,,34590000,2.5,6.38,22.16,27.1,"Lucid Group, Inc. a technology and automotive company, develops electric vehicle (EV) technologies. The company designs, engineers, and builds electric vehicles, EV powertrains, and battery systems. As of December 31, 2021, it operates twenty retail studios in the United States. Lucid Group, Inc. was founded in 2007 and is headquartered in Newark, California.",2023-02-09,10.23,4.77,2023-02-22,AMC
CTSO,Cytosorbents Corporation,Healthcare,Medical Devices,USA,149920000,,3.5,-0.0814,133299,Top Losers,1,-,-0.95,5.8,43610000,8.57,,-0.4,2.98,39400000.0,76.01,-41400000.0,,-0.17,38.2,120.57,36100000.0,4.15,180.5,3.83,540000.0,78.72,0.9,4.23,55.1,54.0,9.0,11.55,0.57,6.63,,80.8,1.03,4.59,124.84,,,4.1,35.2,24.07,0.71,,2.9,35.3,62.7,238.35,0.34,221,3.2,17.3,96.2,65.87,17.02,11.44,True,0.0,89.5,,1.49,3.81,True,0.0,,132870,1.7,30.01,81.81,82.47,"Cytosorbents Corporation engages in the research, development, and commercialization of medical devices with its blood purification technology platform incorporating a proprietary adsorbent and porous polymer technology. Its flagship product is CytoSorb, an extracorporeal cytokine filter for adjunctive therapy in the treatment of sepsis, adjunctive therapy in other critical care applications, prevention and treatment of perioperative complications of cardiopulmonary bypass surgery, and maintaining or enhancing the quality of solid organs harvested from donors for organ transplant. The company also develops VetResQ, a device for adjunctive therapy in the treatment of sepsis, pancreatitis, and other critical illnesses in animals; CytoSorb-XL, a device for adjunctive therapy in the treatment of sepsis and other critical illnesses; HemoDefend blood purification technology platform to reduce contaminants in the blood supply that can cause transfusion reactions or disease when administering blood and blood products to patients, as well as removal of anti-A and anti-B blood group antibodies from fresh whole blood and plasma; K+ontrol for treatment of severe hyperkalemia in patients with life-threatening conditions; and ContrastSorb for the removal of IV contrast in blood administered during CT imaging, an angiogram, or during a vascular interventional radiology procedure to reduce the risk of contrast-induced nephropathy. In addition, it is involved in the development of BetaSorb, a device for the prevention and treatment of health complications caused by the accumulation of metabolic toxins in patients with chronic renal failure; DrugSorb, a device to remove toxic chemicals from the blood; and DrugSorb-ATR, an antithrombotic removal system. The company was formerly known as MedaSorb Technologies Corporation and changed its name to Cytosorbents Corporation in May 2010. Cytosorbents Corporation was founded in 1997 and is headquartered in Princeton, New Jersey.",2023-02-09,1.38,4.09,2022-11-03,AMC
BRFH,"Barfresh Food Group, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,19540000,,1.25,-0.0808,12790,"['Channel Down', 'Top Losers']",2,-,-0.33,1.4,12930000,10.71,,-0.09,0.0,6270000.0,9.42,-4200000.0,,-0.08,20.9,39.9,10200000.0,1.92,73.1,1.32,50000.0,71.46,0.33,4.12,78.0,49.3,5.25,77.27,0.19,6.98,,63.4,1.0,8.00,3.85,,,40.3,14.0,84.38,0.06,,1.8,35.7,17.7,25.0,0.14,15,2.1,26.3,41.2,43.92,13.25,9.87,False,0.0,432.9,41.3,1.34,1.36,True,0.0,,13560,2.0,13.17,7.69,64.86,"Barfresh Food Group, Inc. manufactures and distributes ready-to-drink and ready-to-blend frozen beverages in the United States. The company offers smoothies, shakes and frappes in various formats comprising ready-to-drink bottled, easy pour, juice concentrates, and single serve. The company was founded in 2009 and is based in Los Angeles, California.",2023-02-09,0.74,3.41,,
ICAD,"iCAD, Inc.",Healthcare,Health Information Services,USA,57490000,,2.05,-0.08070000000000001,96405,"['Double Bottom', 'Top Losers']",2,-,-0.58,0.7,25200000,14.58,,-0.29,17.76,23590000.0,0.97,-14700000.0,,-0.14,48.5,18.5,29300000.0,1.96,42.9,4.96,310000.0,46.34,1.49,1.5,48.2,25.1,8.17,65.08,0.95,2.34,15.0,34.8,1.53,6.10,12.02,,,6.5,23.9,66.39,1.24,,2.5,5.0,71.4,33.99,0.16,136,2.9,31.9,50.3,43.87,8.57,6.13,True,0.0,78.1,50.3,0.65,2.23,True,0.0,,211250,1.7,8.52,4.07,27.43,"iCAD, Inc. provides image analysis, workflow solutions, and radiation therapy for the treatment of cancer in the United States. It operates through two segments, Cancer Detection and Cancer Therapy. The company offers PowerLook platform, which hosts the AI algorithm solutions and manages the communications between imaging acquisition systems, and image storage and review systems; SecondLook, a machine learning-based cancer detection algorithm that analyzes 2D full-field digital mammography images to identify and mark suspicious masses and calcifications; and automated density assessment solutions, which provides automated, consistent, and standardized density assessment. It also offers ProFound AI, a deep-learning algorithm designed to detect malignant soft-tissue densities and calcifications in digital breast tomosynthesis; ProFound AI Risk, a tool that provides breast cancer risk estimation based on a screening mammogram; and magnetic resonance imaging applications, a tool to detect breast and prostate cancer. In addition, the company offers VeraLook, a solution designed to support the detection of colonic polyps in conjunction with CT Colonography. Further, it provides Xoft Axxent electronic brachytherapy systems for the treatment of early stage breast, non-melanoma skin, and gynecological cancers to university research and community hospitals, cancer care clinics, veterinary facilities, and dermatology offices. The company sells its products through direct sales organizations, as well as through various original equipment manufacturer partners, distributors, technology platform partners, and resellers. It also exports its products in Europe, Taiwan, Canada, China, and internationally. The company was formerly known as Howtek, Inc. and changed its name to iCAD, Inc. in June 2002. iCAD, Inc. was incorporated in 1984 and is headquartered in Nashua, New Hampshire.",2023-02-09,1.33,1.49,2022-11-10,AMC
PIII,P3 Health Partners Inc.,Healthcare,Medical Care Facilities,USA,311550000,,1.14,-0.0806,569185,"['New Low', 'Top Losers', 'Unusual Volume']",3,-,-6.13,40.19,41580000,13.64,,-2.48,0.0,25590000.0,25.0,-254900000.0,,-0.91,52.9,76.2,969100000.0,0.32,2316.7,0.17,3190000.0,77.15,1.88,0.66,57.2,13.5,8.5,77.95,0.14,9.06,,141.0,1.2,8.49,38.04,,,,52.6,86.57,,,0.5,,2.0,5.0,0.14,500,0.5,58.7,,22.02,4.62,8.03,False,1.02,108.7,26.3,4.25,1.24,True,1.02,,191290,1.7,18.64,51.93,73.56,"P3 Health Partners Inc., a patient-centered and physician-led population health management company, provides superior care services in the United States. It operates clinics and wellness centers. P3 Health Partners Inc. is based in Henderson, Nevada.",2023-02-09,12.46,16.67,2022-11-14,AMC
CIFR,Cipher Mining Inc.,Financial,Capital Markets,USA,450710000,,1.54,-0.0805,1028975,"['Most Volatile', 'Top Losers']",2,-,-0.22,1.4,247510000,23.0,,-0.17,0.26,40980000.0,63.36,-56500000.0,,-0.06,11.1,77.66,,,,2.39,3310000.0,33.62,1.55,1.08,1600.0,15.5,1.5,46.34,0.11,14.83,,16.2,0.38,3.94,175.0,,,,,60.91,,,3.6,,,303.35,0.29,10,3.6,,,58.21,34.0,22.82,True,0.0,,,1.39,1.67,True,0.0,,1050000,3.0,17.27,61.11,3.59,"Cipher Mining Inc., a technology company, operates in the bitcoin mining ecosystem in the United States. It engages in developing and growing a cryptocurrency mining business that specializes in bitcoin. The company was incorporated in 2021 and is based in New York, New York.",2023-02-09,8.08,3.14,2022-11-14,BMO
VRM,"Vroom, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,166570000,,1.09,-0.08039999999999999,4310143,Top Losers,1,-,-4.4,0.8,138120000,23.05,,-2.27,3.51,132600000.0,4.33,-606500000.0,,-0.71,32.3,10.77,2670000000.0,0.06,79.7,13.42,19650000.0,34.24,3.22,0.37,19.2,36.4,2.21,85.03,3.61,0.33,,127.8,0.82,8.10,6.37,,,,17.6,86.6,,,1.3,,9.7,31.52,0.12,1807,1.9,62.0,28.9,48.14,12.58,10.77,True,2.26,48.4,29.4,1.44,1.18,True,1.37,,4420000,3.0,1.03,2.14,18.92,"Vroom, Inc. operates as an e-commerce used automotive retailer in the United States. It operates end-to-end ecommerce platform for buying, selling, transporting, reconditioning, pricing, financing, registering, and delivering vehicles. The company was formerly known as Auto America, Inc. and changed its name to Vroom, Inc. in July 2015. The company was incorporated in 2012 and is headquartered in New York, New York.",2023-02-09,14.82,4.45,2023-02-28,AMC
SIEB,Siebert Financial Corp.,Financial,Capital Markets,USA,60880000,48.63,1.79,-0.0797,27416,Top Losers,1,-,0.04,63.98,32400000,10.95,,,0.0,11520000.0,28.78,1300000.0,,,1.6,4.28,51100000.0,1.19,66.5,2.45,70000.0,8.48,1.59,1.22,,0.0,,14.35,29.33,0.07,,0.4,1.2,2.54,31.62,,,21.4,0.5,29.56,-0.02,,1.0,47.1,94.7,49.17,0.11,125,1.0,16.4,4.2,54.38,9.09,5.59,True,12.19,16.2,0.4,2.07,1.95,True,0.12,,18840,,4.16,13.78,8.78,"Siebert Financial Corp., through its subsidiaries, engages in the retail discount brokerage and investment advisory businesses in the United States and Internationally. It offers discount brokerage services, including self-directed trading, wealth management, financial advice, market making and fixed income investment, stock borrow, equity compensation plans, securities lending, equity stock plan, and market making services; independent retail execution services; and retail customer services. The company also offers self-directed retirement accounts, as well as lends customers a portion of the market value of marginable securities held in the customer's account. In addition, the company provides data technology platform that offers various services, such as email and messaging, market data systems and third party trading systems, business productivity tools, and customer relationship management systems. Further, it offers a Robo-Advisor platform that provides clients with an automated wealth management solution; and various insurance products, such as fixed annuities, personal insurance, property and casualty insurance, natural disaster insurance, and life and disability. The company has 12 branch offices in the United States. Siebert Financial Corp. was incorporated in 1934 and is headquartered in New York, New York. Siebert Financial Corp. was formerly a subsidiary of Kennedy Cabot Acquisition, LLC.",2023-02-09,0.62,3.77,,
NSSC,"Napco Security Technologies, Inc.",Industrials,Security & Protection Services,USA,1240000000,69.31,31.53,-0.0791,775632,"['Top Losers', 'Unusual Volume']",2,-,0.49,16.9,36760000,2.41,30.9,1.11,18.0,30320000.0,15.2,18200000.0,46.21,0.14,70.3,16.96,152000000.0,8.16,27.0,0.45,2900000.0,24.41,3.28,10.44,49.33,12.8,35.2,58.68,1.23,27.95,1.5,16.4,15.6,36.78,14.45,,775.54,29.1,17.5,14.49,1.14,,2.9,10.4,42.0,101.6,1.57,1149,5.0,27.0,14.0,54.95,6.68,4.82,True,0.0,17.7,12.0,5.20,34.24,True,0.0,0.0,213300,1.8,3.49,11.95,24.56,"Napco Security Technologies, Inc. develops, manufactures, and sells electronic security products in the United States and internationally. The company offers access control systems, door-locking products, intrusion and fire alarm systems, and video surveillance systems for commercial, residential, institutional, industrial, and governmental applications. Its access control systems include various types of identification readers, control panels, PC-based computers, and electronically activated door-locking devices; and door locking devices comprise microprocessor-based electronic door locks with push button, card readers and bio-metric operation, door alarms, mechanical door locks, and simple dead bolt locks. The company's alarm systems include automatic communicators, cellular communication devices, control panels, combination control panels/digital communicators and digital keypad systems, fire alarm control panels, and area detectors; and video surveillance systems comprise video cameras, control panels, video monitors, or PCs. It also buys and resells various identification readers, video cameras, PC-based computers, and peripheral equipment for access control and video surveillance systems; offers school security products; and markets peripheral and related equipment manufactured by other companies. The company markets and sells its products primarily to independent distributors, dealers, and installers of security equipment. Napco Security Technologies, Inc. was founded in 1969 and is headquartered in Amityville, New York.",2023-02-09,9.56,13.59,2023-02-06,BMO
VRME,"VerifyMe, Inc.",Industrials,Security & Protection Services,USA,17260000,,1.8,-0.0791,33162,Top Losers,1,-,-1.92,6.3,8940000,1.97,,-0.28,11.52,8119999.999999999,45.14,-15500000.0,,-0.06,5.8,41.72,10100000.0,1.71,133.0,56.97,80000.0,6.5,1.48,1.32,84.6,79.4,3.5,46.11,0.43,4.54,,91.0,1.01,3.59,55.16,,,15.3,22.5,49.86,0.77,,2.5,87.9,37.8,78.21,0.15,7,2.6,1638.3,45.5,54.41,8.24,9.5,False,0.15,106.6,,1.43,1.95,True,0.11,,33040,1.5,0.89,25.1,5.32,"VerifyMe, Inc., together with its subsidiary, PeriShip Global, LLC, operates as a technology solutions provider that specializes in products to connect brands with consumers and providing brands with end-to-end logistics management for their products. The company operates through two segments, VerifyMe Solutions and PeriShip Global Solutions. The VerifyMe Solutions segment offers technology solutions to connect brands with consumers allowing brand owners the ability to gather business intelligence while engaging directly with their consumers. Its solutions provide brand protection and supply chain functions, such as counterfeit prevention, authentication, serialization, and track and trace features for labels, packaging, and products. This segment also offers consumer engagement capabilities, custom printing of tamper evident labels, utilizing visible and invisible variable codes, and images printed with its proprietary inks. The PeriShip Global Solutions segment offers predictive analytics for optimizing delivery of time and temperature sensitive perishable products. This segment's products include PeriTrack customer dashboard, an integrated web portal tool gives its customers an in-depth look at their shipping activities based on real-time data. It also provides call center, pre-transit, post-delivery, and weather/traffic services. The company has a strategic partnership with INX International Ink Company. The company was formerly known as LaserLock Technologies, Inc. and changed its name to VerifyMe, Inc. in July 2015. VerifyMe, Inc. was incorporated in 1999 and is headquartered in Rochester, New York.",2023-02-09,0.98,2.41,2022-11-10,BMO
DSKE,"Daseke, Inc.",Industrials,Trucking,USA,574290000,13.65,8.5,-0.0791,379479,Top Losers,1,-,0.68,0.6,63540000,13.56,10.45,0.88,3.95,57920000.0,39.37,45500000.0,0.55,0.06,43.3,55.51,1760000000.0,0.33,16.9,5.27,1160000.0,20.34,2.62,3.52,37.33,3.9,11.62,26.43,3.03,3.05,25.0,32.1,4.69,13.17,48.68,,6.94,24.2,12.4,35.74,1.92,,1.7,19.0,51.4,80.38,0.48,4006,1.7,9.0,5.8,70.19,7.89,5.68,True,3.79,38.8,2.6,1.63,9.23,True,3.38,0.0,336110,1.7,22.0,35.31,29.27,"Daseke, Inc. provides transportation and logistics solutions with a focus on flatbed and specialized freight in the United States, Canada, and Mexico. It operates through two segments, Flatbed Solutions and Specialized Solutions. The company transports aircraft parts, manufacturing equipment, structural steel, pressure vessels, wind turbine blades, commercial glass, high security cargo, arms, ammunition and explosives, lumber, and building and construction materials, as well as heavy machinery, such as construction, mining, and agriculture. It also offers logistical planning and warehousing services. As of December 31, 2021, it operated 2,623 company-owned tractors and 2,074 independent owned contractors tractors; and 11,266 trailers. Daseke, Inc. was founded in 2008 and is headquartered in Addison, Texas.",2023-02-09,2.0,3.44,2023-02-06,BMO
