,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200
15,SCLX,Scilex Holding Company,Healthcare,Drug Manufacturers - General,USA,1270000000.0,69.92,10.16,0.1441,730844.0,"['Top Gainers', 'Most Volatile']",2,-,0.13,96.20%,13.18M,45.14%,-,-,0.00%,5.30M,73.08%,1.80M,-,-,9.20%,4.49% / 0.97,10.86%,34.38M,36.96,-,-10.49%,0.24M,-1.17%,6.78,1.31,-,1.30%,-,0.99%,0.00,-,-,1.60%,2.87,11.69,154.64%,-,-,-,-,-13.09%,-,-,0.20,-,-,254.01%,1.57,2,0.20,36.70%,-,62.73,20.60%,25.48%,No,0.00,88.10%,-,2.99,8.88,No,0.00,-,0.00%,244.46K,-,23.03%,77.76%,13.13%
16,DYNT,Dynatronics Corporation,Healthcare,Medical Devices,USA,43840000.0,,2.69,0.135,143863.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,-0.32,21.50%,18.54M,15.06%,-,-0.15,0.00%,14.75M,19.58%,-5.70M,-,-0.15,15.50%,0.19% / 3.25,27.79%,44.10M,0.99,-438.50%,-7.75%,0.03M,-16.06%,0.72,3.29,75.80%,-,13.75,-37.38%,0.04,54.81,-,-,1.50,4.55,37.91%,-,-,27.90%,-29.90%,-40.88%,0.31,-,0.70,4.40%,24.20%,79.33%,0.19,195,1.90,-1.60%,-,74.46,11.06%,7.85%,No,0.17,-316.80%,-,16.82,2.37,Yes,0.14,Feb 09 BMO,-,8.55K,1.70,23.10%,22.85%,-2.29%
17,ARMP,"Armata Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,97020000.0,,2.89,0.12890000000000001,14928.0,Top Gainers,1,-,-1.03,73.07%,36.04M,5.09%,-,-1.17,0.00%,9.73M,90.71%,-32.70M,-,-0.28,3.90%,0.39% / 1.74,-3.67%,5.40M,17.97,28.90%,0.54%,0.04M,-29.85%,1.26,2.03,-9.40%,-35.20%,8.00,-43.77%,0.67,3.82,-,-70.30%,0.83,5.79,133.06%,-,-,69.20%,-,-50.09%,1.14,-,4.70,76.70%,-,247.73%,0.31,69,4.70,0.00%,-,56.27,6.93%,13.51%,No,0.00,-9.50%,-,0.68,2.56,Yes,0.00,Nov 09 AMC,-,21.84K,1.50,6.23%,39.23%,-15.84%
18,WFRD,Weatherford International plc,Energy,Oil & Gas Equipment & Services,USA,3990000000.0,,64.48,0.1257,1591300.0,"['Top Gainers', 'New High', 'Earnings Before']",3,-,-2.97,0.40%,71.00M,14.53%,21.64,2.65,0.00%,65.52M,26.16%,-207.00M,-,0.66,99.60%,4.20% / 3.71,46.61%,4.09B,0.98,76.60%,1.79%,2.75M,190.19%,6.38,8.98,3885.70%,-4.40%,58.50,99.63%,13.39,4.28,-,-46.30%,16.96,57.92,26.63%,-,33.26,-10.90%,-4.80%,11.33%,-,-,1.70,-8.70%,28.30%,280.19%,2.74,17000,2.20,18.50%,4.00%,76.91,5.11%,4.09%,Yes,5.25,128.70%,-5.10%,2.14,57.28,Yes,5.22,Feb 08 BMO,-,741.97K,2.00,16.47%,29.89%,83.78%
19,NYT,The New York Times Company,Communication Services,Publishing,USA,6080000000.0,35.61,41.13,0.1204,4301831.0,"['Top Gainers', 'Unusual Volume', 'Overbought', 'Earnings Before', 'Major News']",5,-,1.03,0.20%,166.43M,15.37%,31.62,1.16,-1.92%,161.70M,21.58%,173.00M,-,0.43,93.70%,2.37% / 4.10,21.47%,2.23B,2.72,119.10%,0.80%,3.83M,34.41%,9.26,3.96,7.90%,6.80%,34.36,1.06%,1.77,20.78,-1.40%,11.30%,27.58,47.67,26.71%,0.36,116.30,46.60%,12.80%,-13.72%,1.01,0.98%,1.00,5.90%,48.20%,49.10%,1.12,5000,1.00,7.60%,9.10%,83.87,2.48%,2.12%,Yes,0.00,-32.20%,7.70%,4.61,36.71,Yes,0.00,Feb 08 BMO,32.90%,932.82K,2.70,18.33%,20.19%,26.87%
20,AUTL,Autolus Therapeutics plc,Healthcare,Biotechnology,United Kingdom,338820000.0,,2.23,0.115,3012871.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,-1.85,8.80%,166.13M,7.73%,-,-1.29,0.00%,151.52M,23.89%,-163.60M,-,-0.27,30.20%,0.33% / 0.78,-2.62%,2.70M,125.49,28.50%,-2.86%,0.50M,-32.42%,1.77,1.13,18.40%,-48.60%,8.47,-49.20%,0.96,2.08,-,-68.10%,1.60,5.04,17.37%,-,-,-31.10%,-45.00%,-55.75%,1.58,-,5.50,6.60%,-,39.37%,0.17,324,5.50,903.80%,-,59.78,6.94%,7.87%,Yes,0.00,-0.50%,-,4.72,2.00,Yes,0.00,Nov 03 BMO,-,637.93K,2.00,12.75%,6.29%,-15.61%
21,ONVO,"Organovo Holdings, Inc.",Healthcare,Diagnostics & Research,USA,15780000.0,,1.94,0.1149,222968.0,"['Top Gainers', 'Unusual Volume']",2,-,-1.37,2.30%,8.71M,15.13%,-,-,0.00%,8.63M,31.08%,-11.90M,-,-,17.80%,3.49% / 11.68,25.16%,1.60M,9.86,46.00%,0.50%,0.30M,-38.99%,2.87,0.61,-,-37.70%,-,-39.94%,2.64,0.66,-,-41.90%,1.37,4.67,37.59%,-,-,30.10%,-38.00%,-58.46%,0.98,-,17.50,-18.70%,-,41.61%,0.13,14,17.50,-,-,66.51,8.20%,8.21%,Yes,0.00,5.30%,-,8.66,1.74,Yes,0.00,-,-,25.75K,3.00,17.58%,21.30%,-9.74%
22,SNEX,StoneX Group Inc.,Financial,Capital Markets,USA,1780000000.0,8.95,99.75,0.1134,286353.0,Top Gainers,1,-,10.01,3.50%,19.69M,13.11%,9.74,9.20,-6.82%,17.34M,5.01%,201.00M,0.47,2.13,78.00%,1.08% / 1.68,7.39%,66.04B,0.03,74.70%,0.87%,0.19M,7.50%,54.34,1.65,1.46%,1.00%,113.00,48.24%,55.84,1.60,19.00%,19.70%,65.00,103.00,4.67%,-,-,97.10%,3.30%,-3.16%,0.96,-,-,17.50%,2.90%,53.46%,3.40,3615,-,38.30%,0.40%,64.61,2.90%,3.07%,Yes,4.87,602.50%,0.30%,2.58,89.59,Yes,0.77,Feb 07 AMC,0.00%,110.91K,-,10.91%,6.27%,15.78%
23,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,USA,42680000000.0,59.03,59.64,0.109,18288924.0,"['Top Gainers', 'Most Active', 'Downgrades', 'Major News']",4,S&P 500,0.91,12.00%,786.20M,12.34%,38.55,1.40,-0.31%,633.43M,20.70%,742.50M,2.81,0.39,67.80%,2.51% / 3.06,24.61%,4.10B,10.42,24.70%,-4.12%,15.90M,14.27%,-0.81,-,21.52%,13.40%,63.97,-2.94%,2.18,24.67,21.00%,-,42.61,71.52,21.99%,-,36.55,81.90%,35.90%,-16.61%,1.17,-,1.00,21.20%,75.20%,39.97%,2.25,12091,1.10,32.60%,20.20%,72.45,3.34%,3.61%,Yes,-,49.10%,18.10%,3.52,53.78,Yes,-,Feb 07 AMC,0.00%,5.19M,2.00,17.05%,16.99%,10.90%
24,VRCA,Verrica Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,240070000.0,,6.34,0.1084,508755.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Overbought']",4,-,-1.02,35.10%,40.30M,27.31%,-,-1.14,0.00%,19.33M,46.08%,-28.10M,-,-0.19,25.10%,2.44% / 3.81,166.39%,9.00M,26.67,24.10%,-9.44%,0.47M,95.08%,1.11,5.15,-17.50%,-42.50%,11.60,-18.61%,0.94,6.08,-,-94.30%,1.77,9.22,130.55%,-,-,-,-41.60%,-31.24%,2.14,-,14.10,-,-,258.19%,0.43,38,14.10,-,-,80.02,11.62%,9.54%,Yes,0.00,100.40%,-,4.10,5.72,Yes,0.00,-,-,124.16K,2.40,33.18%,70.73%,81.63%
25,TIGO,Millicom International Cellular S.A.,Communication Services,Telecom Services,Luxembourg,3020000000.0,2.56,18.69,0.1066,748867.0,"['Top Gainers', 'Unusual Volume']",2,-,6.60,36.00%,170.87M,7.72%,14.92,1.13,0.00%,100.41M,35.53%,649.00M,-,0.27,15.30%,0.20% / 1.00,44.77%,5.59B,0.54,277.80%,-0.51%,0.20M,23.86%,20.70,0.82,93.17%,5.20%,19.91,-14.96%,-,-,-,24.80%,10.22,22.74,47.98%,-,7.58,119.40%,3.50%,-17.82%,1.03,-,1.00,2.70%,73.00%,82.88%,0.67,20687,1.00,38.00%,15.90%,72.70,2.54%,2.52%,Yes,2.23,-206.80%,13.70%,3.67,16.89,Yes,2.15,-,0.00%,203.78K,2.40,18.12%,30.75%,29.87%
26,BBAI,"BigBear.ai Holdings, Inc.",Technology,Information Technology Services,USA,430940000.0,,5.44,0.1057,15817905.0,"['Top Gainers', 'Most Volatile', 'Most Active']",3,-,-1.60,97.83%,126.27M,58.60%,-,-0.35,-0.03%,4.27M,615.79%,-211.00M,-,-0.10,2.40%,10.06% / 0.07,394.55%,260.20M,1.66,29.60%,-40.06%,0.43M,98.54%,-0.06,-,56.80%,-76.80%,5.00,4.62%,0.25,19.59,-,-496.20%,0.58,16.12,707.48%,-,-,-,-26.00%,-66.25%,-,-,1.80,-,25.10%,837.93%,0.78,665,1.80,1.10%,-62.00%,69.91,33.04%,24.91%,Yes,-,33.60%,-81.10%,2.75,4.92,Yes,-,Nov 09 AMC,-,5.75M,2.70,93.57%,234.34%,82.69%
27,MANU,Manchester United plc,Consumer Cyclical,Leisure,United Kingdom,3560000000.0,,23.34,0.1051,5802245.0,"['Top Gainers', 'Major News']",2,-,-0.96,5.25%,163.06M,3.78%,-,-18.64,0.00%,53.36M,1.00%,-154.60M,-,-1.00,82.80%,6.68% / 1.72,74.44%,733.90M,4.85,-700.10%,1.08%,3.57M,104.92%,0.76,27.79,50.00%,-9.40%,24.67,72.12%,0.18,119.94,-0.05%,-73.60%,10.41,25.24,0.04%,0.18,-,-37.80%,-6.90%,-7.53%,0.68,0.85%,0.30,0.10%,-,124.21%,0.94,1035,0.30,13.60%,-13.40%,58.62,2.98%,3.34%,Yes,6.76,-70.60%,-21.10%,2.80,21.12,Yes,5.73,Dec 08 AMC,-,2.07M,2.30,3.20%,4.41%,54.24%
28,LUXH,LuxUrban Hotels Inc.,Consumer Cyclical,Lodging,USA,44790000.0,,1.79,0.10490000000000001,151893.0,"['Top Gainers', 'Unusual Volume', 'Wedge']",3,-,-0.04,4.40%,24.09M,7.19%,7.04,0.23,0.00%,6.28M,1.88%,-0.80M,-,-0.02,1.00%,1.24% / 2.25,21.77%,49.60M,0.90,51.60%,-,0.08M,-,0.20,8.10,675.00%,-1.60%,5.00,-,0.05,34.46,-,12.20%,1.24,5.00,5.30%,-,-,-,17.50%,-64.20%,-,-,0.60,-,47.40%,44.35%,0.12,107,0.60,-33.00%,7.30%,56.98,4.73%,6.74%,No,1.67,-48.40%,-1.60%,4.39,1.62,Yes,0.35,-,-,34.58K,2.00,5.29%,7.29%,-3.90%
29,HILS,"Hillstream BioPharma, Inc.",Healthcare,Biotechnology,USA,14300000.0,,1.37,0.1048,1685439.0,"['Top Gainers', 'Most Volatile', 'Overbought']",3,-,-0.39,25.50%,11.53M,33.01%,-,-,0.00%,5.13M,234.15%,-4.30M,-,-,6.30%,0.47% / 0.02,155.88%,-,-,17.50%,-3.20%,0.02M,8.73%,0.62,2.00,-,-57.50%,6.00,-66.17%,0.66,1.88,-,-78.00%,0.30,4.20,251.46%,-,-,-,-,-67.38%,-,-,10.90,-,-,352.15%,0.16,1,10.90,-,-,80.76,16.49%,16.49%,No,0.00,-142.80%,-,1.06,1.24,No,0.00,-,-,1.60M,2.00,101.39%,161.61%,69.07%
30,NHTC,Natural Health Trends Corp.,Consumer Cyclical,Internet Retail,Hong Kong,54260000.0,153.55,5.24,0.1008,85302.0,"['Top Gainers', 'Overbought', 'Earnings Before']",3,-,0.03,13.20%,11.42M,11.73%,-,-,0.00%,6.96M,30.67%,0.40M,-,-,11.00%,0.69% / 2.00,23.88%,52.70M,1.03,28.70%,-5.71%,0.05M,-4.73%,4.54,1.05,-,0.40%,-,-34.42%,6.20,0.77,-,0.60%,3.27,8.00,52.77%,0.80,-,-54.40%,1.90%,-34.50%,0.78,16.81%,3.70,-26.90%,74.30%,60.24%,0.18,138,3.90,-18.20%,0.30%,80.05,3.09%,3.33%,Yes,0.00,-90.00%,0.70%,3.54,4.76,Yes,0.00,Feb 08 BMO,-,24.11K,-,17.10%,30.39%,6.76%
31,INMB,"INmune Bio, Inc.",Healthcare,Biotechnology,USA,165950000.0,,10.18,0.1005,117514.0,"['Top Gainers', 'Most Volatile']",2,-,-1.74,35.05%,17.95M,17.55%,-,-2.10,0.00%,11.66M,45.43%,-31.10M,-,-0.48,10.70%,8.47% / 18.24,28.21%,0.40M,414.86,-86.40%,-4.86%,0.99M,9.46%,3.55,2.61,-26.50%,-34.00%,18.00,-3.23%,3.20,2.89,-,-43.00%,4.63,11.78,60.57%,-,-,-,-30.80%,-13.56%,2.03,-,9.70,-,-,119.93%,0.64,10,9.70,600.00%,-,75.71,6.81%,7.88%,Yes,0.23,21.10%,-,2.17,9.25,Yes,0.19,Nov 02 AMC,-,54.11K,1.50,24.34%,36.08%,30.65%
32,PRST,"Presto Automation, Inc.",Technology,Software - Application,USA,199930000.0,28.52,4.23,0.0987,72671.0,"['Top Gainers', 'Most Volatile']",2,-,0.14,10.60%,51.11M,24.05%,48.12,0.08,0.00%,32.53M,83.91%,-2.00M,-,-0.21,30.50%,0.32% / 1.91,114.72%,30.90M,6.47,-13.10%,-,0.11M,-58.32%,0.04,96.25,-,-4.30%,4.25,-57.95%,1.14,3.38,-,2.30%,1.61,10.70,84.72%,-,-,-,-893.60%,-60.47%,-,-,2.70,-,2.50%,162.73%,0.40,110,2.70,8.30%,-,67.99,10.06%,13.29%,No,47.17,323.70%,-6.50%,1.31,3.85,Yes,41.17,-,0.00%,55.29K,3.00,37.62%,52.04%,-33.48%
