,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Description
10,HARP,"Harpoon Therapeutics, Inc.",Healthcare,Biotechnology,USA,45540000.0,,1.37,0.21239999999999998,1609082.0,"['Top Gainers', 'Most Volatile']",2,"Harpoon Therapeutics, Inc., a clinical-stage immunotherapy company, engages in the development of a novel class of T cell engagers that harness the power of the body's immune system to treat patients suffering from cancer and other diseases in the United States. The company develops tri-specific T cell activating construct (TriTAC) product candidate, including HPN328, which is in Phase I/II clinical trials for the treatment of small cell lung cancer and other Delta-like canonical Notch ligand 3-expressing tumors; HPN217 that is in Phase I/II clinical trials for the treatment of multiple myeloma; and HPN536, which is in Phase I/IIa clinical trials for the treatment of ovarian and pancreatic cancer, and other mesothelin-expressing tumors. Its preclinical stage product is HPN601 for the treatment of multiple solid tumor indications. The company has a discovery collaboration and license agreement with AbbVie Biotechnology Ltd. to develop and commercialize products that incorporate its proprietary TriTAC platform technology together with soluble T cell receptors. Harpoon Therapeutics, Inc. was incorporated in 2015 and is headquartered in South San Francisco, California."
11,LIZI,Lizhi Inc.,Communication Services,Internet Content & Information,China,48290000.0,6.58,1.21,0.21,7852925.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,"LIZHI INC. operates an audio entertainment and social networking platform in the People's Republic of China. It provides podcasts, live streaming, and audio entertainment products. The company offers Lizhi app, an audio entertainment platform that offers interactive audio experience, as well as audio entertainment content, such as social, talk show, music, ACG, and audio book content; Tiya App, an audio-based social networking product; and LIZHI Podcast, a podcast app to provide curated podcast content. LIZHI INC. was incorporated in 2010 and is headquartered in Guangzhou, the People's Republic of China."
12,CDIO,"Cardio Diagnostics Holdings, Inc.",Healthcare,Biotechnology,USA,19820000.0,,2.27,0.20739999999999997,1475651.0,"['Top Gainers', 'Most Volatile']",2,"Cardio Diagnostics Holdings, Inc., a biotechnology company, develops and commercializes epigenetics-based clinical tests for cardiovascular disease. It offers Epi+Gen, a three-year symptomatic coronary heart disease (CHD) risk assessment test targeting CHD events, including heart attacks. The company was founded in 2017 and is headquartered in Chicago, Illinois."
13,BGRY,"Berkshire Grey, Inc.",Industrials,Specialty Industrial Machinery,USA,475950000.0,,1.91,0.20129999999999998,33259235.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume']",4,"Berkshire Grey, Inc., an intelligent enterprise robotics company, provides AI-enabled robotic solutions that automate supply chain operations in the United States and Japan. The company's solutions automate filling ecommerce orders for consumers or businesses, filling orders to resupply retail stores and groceries, and handling packages shipped to fill those orders. It serves retail, ecommerce, grocery, package handling, and third-party logistics markets. The company was founded in 2013 and is headquartered in Bedford, Massachusetts."
14,EXAI,Exscientia plc,Healthcare,Biotechnology,United Kingdom,1300000000.0,,10.8,0.2,1622612.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Overbought']",4,"Exscientia plc, an artificial intelligence-driven pharmatech company, engages in discovering, designing, and developing drugs. The company offers end-to-end solution of artificial intelligence (AI) and technologies for target identification, drug candidate design, translational models, and patient selection. In addition, the company focuses on small molecule drug candidates. Its platform enables to design candidate drug molecules, as well as to provide patients with drug therapies through AI guided assessment. The company was founded in 2012 and is headquartered in Oxford, the United Kingdom."
15,GSUN,Golden Sun Education Group Limited,Consumer Defensive,Education & Training Services,China,43710000.0,48.4,2.42,0.198,36760851.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume']",4,"Golden Sun Education Group Limited, through its subsidiaries, provides education services in the People's Republic of China. It offers minor language purchase service courses; and develops an artificial intelligent teaching platform. The company also provides minority language training, TOEFL, IELTS, and school and college entrance examination repetition training. The company was founded in 1997 and is based in Shanghai, China."
16,ALTI,"Alvarium Tiedemann Holdings, Inc.",Financial,Asset Management,USA,938570000.0,13.8,8.21,0.1813,257475.0,"['Top Gainers', 'Most Volatile']",2,"Alvarium Tiedemann Holdings, Inc. operates as a wealth and asset manager in the United States and internationally. It provides entrepreneurs, multi-generational families, institutions, and emerging next-generation leaders with fiduciary capabilities, as well as alternative investment strategies and advisory services. The company is based in New York, New York."
17,INTA,"Intapp, Inc.",Technology,Software - Application,USA,2109999999.9999998,,33.51,0.1812,937145.0,"['Top Gainers', 'New High', 'Most Volatile', 'Unusual Volume', 'Overbought']",5,"Intapp, Inc., through its subsidiary, Integration Appliance, Inc., provides industry-specific cloud-based software solutions for the professional and financial services industry in the United States, the United Kingdom, and internationally. The company's solutions include DealCloud, a deal and relationship management solution that manages financial services firms' market relationships, prospective clients and investments, current engagements and deal processes, and operations and compliance activities; and OnePlace, a solution to manage various aspects of professional services firms' client and engagement lifecycle. Its solutions enable private capital, investment banking, legal, accounting, and consulting firms to realize the benefits of modern AI and cloud-based architectures for their critical business functions without compromising industry-specific functionality or regulatory compliance. The company also offers licensing solutions, such as customer relationship management, risk and compliance management, operational and financial management, collaboration, and integration solutions. It sells its software on a subscription basis through a direct enterprise sales model. The company was formerly known as LegalApp Holdings, Inc. and changed its name to Intapp, Inc. in February 2021. Intapp, Inc. was founded in 2000 and is headquartered in Palo Alto, California."
18,EDUC,Educational Development Corporation,Communication Services,Publishing,USA,34360000.0,,4.0,0.17989999999999998,32558.0,"['Top Gainers', 'Most Volatile']",2,"Educational Development Corporation, a publishing company, operates as a trade co-publisher of educational children's books in the United States. It operates through two segments, Publishing and Usborne Books & More (UBAM). The company offers various books, including touchy-feely board books, activity books and flashcards, adventure and search books, art books, sticker books, and foreign language books, as well as internet-linked books comprising science and math titles, and chapter books and novels. Educational Development Corporation markets its products to retail accounts, which include book, school supply, toy and gift stores and museums, through commissioned sales representatives, trade and specialty wholesalers, and its internal tele-sales group; and through a network of independent sales consultants through internet sales, direct sales, home shows, and book fairs. Educational Development Corporation was incorporated in 1965 and is headquartered in Tulsa, Oklahoma."
19,NICK,"Nicholas Financial, Inc.",Financial,Credit Services,USA,56000000.0,,8.55,0.1753,23930.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,"Nicholas Financial, Inc. operates as a consumer finance company in the United States. The company engages in acquiring and servicing automobile finance installment contracts for the purchase of new and used automobiles and light trucks. It also originates direct consumer loans and sells consumer-finance related products. As of March 31, 2022, the company operated 47 branch offices located in Alabama, Florida, Georgia, Idaho, Illinois, Indiana, Kentucky, Michigan, Missouri, Nevada, North Carolina, Nevada, Ohio, Pennsylvania, South Carolina, Tennessee, Texas, Utah, and Wisconsin. Nicholas Financial, Inc. was founded in 1985 and is headquartered in Clearwater, Florida."
20,ARCB,ArcBest Corporation,Industrials,Trucking,USA,2570000000.0,8.01,101.39,0.17379999999999998,1356769.0,"['Top Gainers', 'New High', 'Most Volatile', 'Unusual Volume']",4,"ArcBest Corporation provides freight transportation and integrated logistics services. It operates through three segments: Asset-Based, ArcBest, and FleetNet. The Asset-Based segment transports general commodities, such as food, textiles, apparel, furniture, appliances, chemicals, nonbulk petroleum products, rubber, plastics, metal and metal products, wood, glass, automotive parts, machinery, and miscellaneous manufactured products through less-than-truckload services. It also offers motor carrier freight transportation services to customers in Mexico through arrangements with trucking companies. The ArcBest segment provides expedite freight transportation services to commercial and government customers; premium logistics services, such as deployment of specialized equipment to meet linehaul requirements; and international freight transportation with air, ocean, and ground services. It also offers third-party transportation brokerage services by sourcing various capacity solutions, including dry van over the road and intermodal, temperature-controlled and refrigerated, flatbed, intermodal or container shipping, and specialized equipment; full-container and less-than-container load ocean transportation services; warehousing and distribution services; managed transportation services; and moving services to 'do-it-yourself' consumer, as well as provides final mile, time critical, product launch, warehousing, retail logistics, supply chain optimization, and trade show shipping services. The FleetNet segment provides roadside repair solutions and vehicle maintenance management services for commercial and private fleets through a network of third-party service providers. The company was formerly known as Arkansas Best Corporation and changed its name to ArcBest Corporation in May 2014. ArcBest Corporation was founded in 1923 and is headquartered in Fort Smith, Arkansas."
21,SCLX,Scilex Holding Company,Healthcare,Drug Manufacturers - General,USA,1270000000.0,69.92,8.88,0.1684,679325.0,"['Top Gainers', 'Most Volatile']",2,"Scilex Holding Company, a biopharmaceutical company, focuses on developing and commercializing non-opioid management products for the treatment of acute and chronic pain. Its commercial product is ZTlido 1.8%, a prescription lidocaine topical product for the relief of neuropathic pain related with post-herpetic neuralgia, which is a form of post-shingles nerve pain. It also offers SP-102, a viscous gel formulation of corticosteroid for epidural injections that is in a Phase III clinical trial to treat lumbosacral radicular pain; SP-103, which is in Phase II clinical trail for the treatment of low back pain; and SP-104, a novel low-dose delayed-release naltrexone hydrochloride formulation that has completed Phase I clinical trial for the treatment of fibromyalgia. The company is headquartered in Palo Alto, California. Scilex Holding Company is a subsidiary of Sorrento Therapeutics, Inc."
22,INOD,Innodata Inc.,Technology,Information Technology Services,USA,159950000.0,,6.29,0.1499,126228.0,"['Top Gainers', 'Most Volatile']",2,"Innodata Inc. operates as a global data engineering company in the United States, the United Kingdom, the Netherlands, Canada, and internationally. The company operates through three segments: Digital Data Solutions (DDS), Synodex, and Agility. The DDS segment offers AI-enabled software platforms and managed services to companies that require data for training AI and machine learning (ML) algorithms, and AI digital transformation solutions to help companies apply AI/ML for problems relating to analyzing and deriving insights from documents. This segment provides a range of data engineering support services, including data annotation, data transformation, data transformation, data curation, data hygiene, data consolidation, data compliance, and master data management. The Synodex segment offers an industry platform that transforms medical records into useable digital data with its proprietary data models or client data models. The Agility segment provides an industry platform that provides marketing communications and public relations professionals to target and distribute content to journalists and social media influencers; and to monitor and analyze global news channels, such as print, web, radio, and TV, as well as social media channels. It serves banking, insurance, financial services, technology, digital retailing, and information/media sectors through its professional staff, senior management, and direct sales personnel. The company was formerly known as Innodata Isogen, Inc. and changed its name to Innodata Inc. in June 2012. Innodata Inc. was incorporated in 1988 and is headquartered in Ridgefield Park, New Jersey."
23,SKY,Skyline Champion Corporation,Consumer Cyclical,Residential Construction,USA,3910000000.0,9.49,68.8,0.1463,1206580.0,Top Gainers,1,"Skyline Champion Corporation produces and sells factory-built housing in North America. The company offers manufactured and modular homes, park models RVs, accessory dwelling units, and modular buildings for the multi-family and hospitality sectors. It builds homes under the Skyline Homes, Champion Home Builders, Genesis Homes, Athens Park Models, Dutch Housing, Atlantic Homes, Excel Homes, Homes of Merit, New Era, Redman Homes, ScotBilt Homes, Shore Park, Silvercrest, and Titan Homes brands in the United States; and Moduline and SRI Homes brand names in western Canada. The company also provides construction services to install and set-up factory-built homes; operates Titan Factory Direct, a factory-direct manufactured home retail business with 18 sales centers in the southern United States; and engages in the transportation of manufactured homes and recreational vehicles. The company was founded in 2010 and is headquartered in Troy, Michigan."
24,RNXT,"RenovoRx, Inc.",Healthcare,Biotechnology,USA,32020000.000000004,,3.61,0.146,31897.0,"['Top Gainers', 'Most Volatile']",2,"RenovoRx, Inc., a clinical-stage biopharmaceutical company, focuses on developing therapies for the treatment of solid tumors. Its lead product candidate is RenovoGem, a drug and device combination consisting of intra-arterial gemcitabine and RenovoCath that is in Phase III clinical trials for the locally advanced pancreatic cancer. RenovoRx, Inc. was founded in 2009 and is headquartered in Los Altos, California."
25,GGE,Green Giant Inc.,Real Estate,Real Estate - Development,China,134610000.0,,2.32,0.1373,105971.0,"['Top Gainers', 'Most Volatile']",2,"Green Giant Inc. operates as a real estate development company, primarily in the construction and sale of residential apartments, car parks, and commercial properties. The company is involved in the development of commercial and residential projects, including multi-layer apartment buildings, sub-high-rise apartment buildings, high-rise apartment buildings, and office buildings, as well as other road construction projects. Green Giant Inc. is headquartered in Hanzhong, China."
26,ONTX,"Onconova Therapeutics, Inc.",Healthcare,Biotechnology,USA,29980000.0,,1.34,0.1356,1833921.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,"Onconova Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on discovering and developing novel products to treat cancer. It has two clinical-stage programs, including narazaciclib (ON 123300), a multi-targeted kinase inhibitor that is in Phase I study for solid tumors, as well as hematological malignancies as a single agent or in combination with other anti-cancer therapies; and oral rigosertib alone or in combination with PD-1 inhibitor, which is in Phase I/IIa for the treatment of progressive K-Ras mutated non-small cell lung cancer. The company develops a Phase Ib/II ISS with rigosertib monotherapy in patients with advanced squamous cell carcinoma associated with recessive dystrophic epidermolysis bullosa; and has a preclinical program comprising IV/oral rigosertib for COVID-19. It has a license agreement with SymBio Pharmaceuticals Limited; license, development, and commercialization agreement with Pint International SA.; and a license and collaboration agreement with HanX Biopharmaceuticals, Inc. for the development, registration, and commercialization of narazaciclib. Onconova Therapeutics, Inc. was incorporated in 1998 and is headquartered in Newtown, Pennsylvania."
27,AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland,915640000.0,,2.19,0.12890000000000001,10936549.0,"['Top Gainers', 'Most Active', 'Channel']",3,"Amarin Corporation plc, a pharmaceutical company, engages in the development and commercialization of therapeutics for the treatment of cardiovascular diseases in the United States, Germany, Canada, Lebanon, and the United Arab Emirates. Its lead product is VASCEPA, a prescription-only omega-3 fatty acid product, used as an adjunct to diet for reducing triglyceride levels in adult patients with severe hypertriglyceridemia. The company sells its products principally to wholesalers and specialty pharmacy providers. It has a collaboration with Mochida Pharmaceutical Co., Ltd. to develop and commercialize drug products and indications based on the active pharmaceutical ingredient in Vascepa, the omega-3 acid, and eicosapentaenoic acid. The company was formerly known as Ethical Holdings plc and changed its name to Amarin Corporation plc in 1999. Amarin Corporation plc was incorporated in 1989 and is headquartered in Dublin, Ireland."
28,SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,USA,19710000000.0,15.77,122.97,0.1253,5738995.0,"['Top Gainers', 'Major News']",2,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California."
29,SANW,S&W Seed Company,Consumer Defensive,Farm Products,USA,74340000.0,,1.72,0.1242,2591856.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,"S&W Seed Company, an agricultural company, engages in breeding, growing, processing, and selling alfalfa and sorghum seeds. It also offers sunflower, stevia, camelina, wheat germplasm, wheat, and pasture seeds. The company sells its seeds to distributors and dealers in 40 countries. S&W Seed Company was founded in 1980 and is headquartered in Longmont, Colorado."
30,BIDU,"Baidu, Inc.",Communication Services,Internet Content & Information,China,58550000000.0,96.52,160.22,0.12179999999999999,14339252.0,"['Top Gainers', 'Most Active', 'Unusual Volume', 'Major News']",4,"Baidu, Inc. offers internet search services in China. It operates through Baidu Core and iQIYI segments. The company offers Baidu App to access search, feed, and other services using mobile devices; Baidu Search to access its search and other services; Baidu Feed that provides users with personalized timeline based on their demographics and interests; and Haokan, a short video app. It also provides Baidu Knows, an online community where users can ask questions to other users; Baidu Wiki; Baidu Healthcare Wiki; Baidu Wenku; Baidu Scholar; Baidu Experience; Baidu Post; Baidu Maps, a voice-enabled mobile app that provides travel-related services; Baidu Drive; Baijiahao; and DuerOS, a smart assistant platform. In addition, it offers online marketing services, which include pay for performance, an auction-based services that allow customers to bid for priority placement of paid sponsored links and reach users who search for information related to their products or services; other marketing services that include display-based marketing services and other online marketing services based on performance criteria other than cost per click; mobile ecosystem, a portfolio of apps, including Baidu App, Haokan, and Baidu Post; various cloud services and solutions, such as platform as a service, software as a service, and infrastructure as a service; self-driving services, including maps, automated valet parking, autonomous navigation pilot, electric vehicles, and robotaxi fleets, as well as Xiaodu smart devices. Further, the company provides iQIYI, AN online entertainment service, including original and licensed content; other video content and membership; and online advertising services. Baidu, Inc. has strategic partnership with Zhejiang Geely Holding Group. The company was formerly known as Baidu.com, Inc. Baidu, Inc. was incorporated in 2000 and is headquartered in Beijing, China."
31,BCEL,"Atreca, Inc.",Healthcare,Biotechnology,USA,70670000.0,,1.66,0.1216,127533.0,Top Gainers,1,"Atreca, Inc., a clinical-stage biopharmaceutical company, discovers and develops antibody-based immunotherapeutics to treat a range of solid tumor types. Its lead product candidate is ATRC-101, a monoclonal antibody with a novel mechanism of action and target derived from an antibody identified using its discovery platform. The company's ATRC-101 product candidate reacts in vitro with a majority of human ovarian, non-small cell lung, colorectal, and breast cancer samples from multiple patients. It also developing APN-122597, a receptor tyrosine kinase that target tumor tissues; and ATRC-501/MAM01, that targets the circumsporozoite protein of Plasmodium falciparum for the treatment of malaria. It has a collaboration and license agreement with Xencor, Inc. for research, development, and commercialization of novel CD3 bispecific antibodies in oncology; licensing agreement with the Bill & Melinda Gates Medical Research Institute for the development and commercialization of MAM01/ATRC-501 for the prevention of malaria. Atreca, Inc. was incorporated in 2010 and is based in San Carlos, California."
32,RPHM,"Reneo Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,71930000.0,,3.22,0.11810000000000001,62641.0,"['Top Gainers', 'Most Volatile']",2,"Reneo Pharmaceuticals, Inc., a clinical-stage pharmaceutical company, focuses on the development and commercialization of therapies for patients with rare genetic mitochondrial diseases. Its lead product candidate is REN001, a potent and selective agonist of the peroxisome proliferator-activated receptor delta that is in clinical development for genetic mitochondrial diseases comprising primary mitochondrial myopathies and long-chain fatty acid oxidation disorders. The company was incorporated in 2014 and is headquartered in Irvine, California."
33,CLRB,"Cellectar Biosciences, Inc.",Healthcare,Biotechnology,USA,17380000.0,,1.9,0.1176,188559.0,"['Top Gainers', 'Most Volatile']",2,"Cellectar Biosciences, Inc., a clinical biopharmaceutical company, focuses on the discovery, development, and commercialization of drugs for the treatment of cancer. Its lead phospholipid drug conjugate (PDC) candidate is CLR 131 (iopofosine I-131), which is in Phase 2 clinical study in patients with relapsed or refractory (r/r) Waldenstrom's macroglobulinemia and B-cell malignancies; Phase 2B clinical study in r/r multiple myeloma (MM) patients; and Phase I study for various pediatric cancers, r/r head and neck cancers, and R/R MM. The company also develops CLR 1900, a PDC chemotherapeutic program that is in the preclinical development stage to treat solid tumors. It has collaborative PDC programs with Avicenna Oncology GMBH to develop CLR 2000 Series; Orano Med to develop CLR 12120 Series; IntoCell Inc; and LegoChemBio. The company was founded in 2002 and is headquartered in Florham Park, New Jersey."
